document_id,source,ministry,scheme_name,publication_date,URL,document_type,sha256,doc_count,chunk_count
myscheme_a_gainer,"myScheme, Digital India Corporation",Ministry of Education,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,,https://www.myscheme.gov.in/schemes/a-gainer,faq,8c34f2e874da143e9043c0a14bd8ea024f72ca091bd6bdb55f4ef11f4214c2df,1,9
myscheme_aaby,"myScheme, Digital India Corporation",Ministry Of Labour and Employment,Aam Aadmi Bima Yojana,,https://www.myscheme.gov.in/schemes/aaby,implementation_manual,650d00b770df55e39728befbb6f8d951acdb877fa4fd51376b41526ff944519e,1,7
myscheme_ab_pmjay,"myScheme, Digital India Corporation",Ministry Of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,,https://www.myscheme.gov.in/schemes/ab-pmjay,operational_guideline,fff6e8f259ada7e84f9e3ab92f1f64604d4c618c913d7113ec32321e1cdadfd0,1,14
myscheme_abvky,"myScheme, Digital India Corporation",Ministry Of Labour and Employment,Atal Beemit Vyakti Kalyan Yojana,,https://www.myscheme.gov.in/schemes/abvky,eligibility_beneficiary,a2dfcc2220720ea5a7d7a25ece03755f045f87f4b4c30410a86942e697edad83,1,11
myscheme_acandabc,"myScheme, Digital India Corporation",Ministry Of Agriculture and Farmers Welfare,Agri-Clinics And Agri-Business Centres Scheme,,https://www.myscheme.gov.in/schemes/acandabc,scheme_description,9971978bc1b5ffeb79471f805375e3448b28af32897878085d12e8c301d3f722,1,12
myscheme_ae,"myScheme, Digital India Corporation",Ministry Of Agriculture and Farmers Welfare,Agricultural Extension,,https://www.myscheme.gov.in/schemes/ae,operational_guideline,99ae16f43997c1d3a90970c4dccd458d44c452857d0d85d7a852cfe62cac4976,1,11
myscheme_aicte_spices,"myScheme, Digital India Corporation",Ministry of Education,"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students",,https://www.myscheme.gov.in/schemes/aicte-spices,implementation_manual,cc55fc31636be3e503cb574189d046cd914a9441f57236f1917f9195d9f8c4d9,1,20
myscheme_am_gris,"myScheme, Digital India Corporation",Ministry of Education,AICTE – Mitacs Globalink Research Internship (GRI) Scheme,,https://www.myscheme.gov.in/schemes/am-gris,funding_guideline,8673adc5eaacc5590d0fe6ac8ff3cd5c97f7b3dcb0513e29992ef9487790fbe0,1,4
myscheme_ami,"myScheme, Digital India Corporation",Ministry Of Agriculture and Farmers Welfare,Agricultural Marketing Infrastructure,,https://www.myscheme.gov.in/schemes/ami,faq,bd9277ef7bc59776e655c965270d0537c199b0cc7f5ad13a95eb74c146f32d00,1,6
myscheme_amrut,"myScheme, Digital India Corporation",Ministry Of Housing & Urban Affairs,Atal Mission For Rejuvenation And Urban Transformation,,https://www.myscheme.gov.in/schemes/amrut,application_procedure,ea0584096ec4e3993c75f6f5e38391da1d3ea9189c26764734cdc654c9787ee7,1,8
myscheme_apy,"myScheme, Digital India Corporation",Ministry Of Finance,Atal Pension Yojana,,https://www.myscheme.gov.in/schemes/apy,scheme_description,05db0f32db6518ab491c81d93694cdf89c60d2dee012687744fc55534117ce47,1,9
myscheme_asiim,"myScheme, Digital India Corporation",Ministry Of Social Justice and Empowerment,Ambedkar Social Innovation and Incubation Mission (ASIIM),,https://www.myscheme.gov.in/schemes/asiim,eligibility_beneficiary,88358036b6bc794e45de35a571b11b62fba12f743a9e434c4443b603d1c5659d,1,12
