system,query_id,mrr@5,recall@5,precision@5,hit@5,ndcg_bin@5,ndcg_graded@5,ce_recall@5,mrr@10,recall@10,precision@10,hit@10,ndcg_bin@10,ndcg_graded@10,ce_recall@10
BM25,v2q-001,1.0,0.42857142857142855,0.6,1.0,0.6992148198508501,0.8063381748228982,1.0,1.0,0.7142857142857143,0.5,1.0,0.7513135367019809,0.8282912530574776,1.0
BM25,v2q-002,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0
BM25,v2q-003,1.0,0.6666666666666666,0.4,1.0,0.7653606369886217,0.8670870086853021,1.0,1.0,1.0,0.3,1.0,0.9134015924715543,0.9509457695419298,1.0
BM25,v2q-004,1.0,0.6666666666666666,0.4,1.0,0.7653606369886217,0.8670870086853021,1.0,1.0,0.6666666666666666,0.2,1.0,0.7653606369886217,0.8670870086853021,1.0
BM25,v2q-005,1.0,0.75,0.6,1.0,0.787702056960637,0.8702876391807989,1.0,1.0,1.0,0.4,1.0,0.9005471983095722,0.9392351262915565,1.0
BM25,v2q-006,1.0,0.8,0.8,1.0,0.8687949224876582,0.9155230494702449,1.0,1.0,0.8,0.4,1.0,0.8687949224876582,0.9155230494702449,1.0
BM25,v2q-007,1.0,1.0,0.4,1.0,0.9197207891481876,0.9502344167898356,1.0,1.0,1.0,0.2,1.0,0.9197207891481876,0.9502344167898356,1.0
BM25,v2q-008,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
BM25,v2q-009,1.0,1.0,0.8,1.0,0.9828920819566879,0.8702876391807989,1.0,1.0,1.0,0.4,1.0,0.9828920819566879,0.8702876391807989,1.0
BM25,v2q-010,1.0,0.5,0.2,1.0,0.6131471927654584,0.6131471927654584,0.5,1.0,1.0,0.2,1.0,0.8175295903539445,0.8175295903539445,1.0
BM25,v2q-011,1.0,0.6666666666666666,0.4,1.0,0.7039180890341347,0.7039180890341347,0.6666666666666666,1.0,1.0,0.3,1.0,0.8451850618939637,0.8451850618939637,1.0
BM25,v2q-012,0.5,0.3333333333333333,0.2,1.0,0.2960819109658652,0.2960819109658652,0.3333333333333333,0.5,0.3333333333333333,0.1,1.0,0.2960819109658652,0.2960819109658652,0.3333333333333333
BM25,v2q-013,1.0,0.42857142857142855,0.6,1.0,0.7227265726449519,0.6827250156238165,0.5,1.0,0.5714285714285714,0.4,1.0,0.6651992357924431,0.7000427437009494,0.75
BM25,v2q-014,1.0,0.6666666666666666,0.4,1.0,0.7653606369886217,0.8403030283801005,1.0,1.0,1.0,0.3,1.0,0.9325210919548239,0.9540734464808887,1.0
