query_id	0	chunk_id	relevance
q_0001	0	chunk_24c5744e	2
q_0001	0	chunk_ddc1db00	1
q_0002	0	chunk_24c5744e	2
q_0002	0	chunk_ddc1db00	1
q_0003	0	chunk_434ecf2f	2
q_0003	0	chunk_34ceaa4c	1
q_0004	0	chunk_547c46be	2
q_0004	0	chunk_746803ec	1
q_0005	0	chunk_24c5744e	2
q_0005	0	chunk_ddc1db00	1
q_0006	0	chunk_24c5744e	2
q_0006	0	chunk_ddc1db00	1
q_0007	0	chunk_434ecf2f	2
q_0007	0	chunk_34ceaa4c	1
q_0008	0	chunk_547c46be	2
q_0008	0	chunk_746803ec	1
q_0009	0	chunk_434ecf2f	2
q_0009	0	chunk_34ceaa4c	1
q_0010	0	chunk_434ecf2f	2
q_0010	0	chunk_34ceaa4c	1
q_0011	0	chunk_34ceaa4c	2
q_0011	0	chunk_434ecf2f	1
q_0012	0	chunk_24c5744e	2
q_0012	0	chunk_ddc1db00	1
q_0013	0	chunk_ddc1db00	2
q_0013	0	chunk_24c5744e	1
q_0014	0	chunk_b6920a5f	2
q_0014	0	chunk_e97a8783	1
q_0015	0	chunk_547c46be	2
q_0015	0	chunk_746803ec	1
q_0016	0	chunk_434ecf2f	2
q_0016	0	chunk_34ceaa4c	1
q_0017	0	chunk_34ceaa4c	2
q_0017	0	chunk_434ecf2f	1
q_0018	0	chunk_434ecf2f	2
q_0018	0	chunk_24c5744e	2
q_0018	0	chunk_ddc1db00	1
q_0018	0	chunk_34ceaa4c	1
q_0019	0	chunk_434ecf2f	2
q_0019	0	chunk_b6920a5f	2
q_0019	0	chunk_34ceaa4c	1
q_0019	0	chunk_e97a8783	1
q_0020	0	chunk_b6920a5f	2
q_0020	0	chunk_028e5115	2
q_0020	0	chunk_cddcf9bf	1
q_0020	0	chunk_e97a8783	1
q_0021	0	chunk_547c46be	2
q_0021	0	chunk_028e5115	2
q_0021	0	chunk_746803ec	1
q_0021	0	chunk_cddcf9bf	1
q_0022	0	chunk_547c46be	2
q_0022	0	chunk_24c5744e	2
q_0022	0	chunk_746803ec	1
q_0022	0	chunk_ddc1db00	1
q_0023	0	chunk_434ecf2f	2
q_0023	0	chunk_24c5744e	2
q_0023	0	chunk_ddc1db00	2
q_0023	0	chunk_34ceaa4c	1
q_0024	0	chunk_434ecf2f	2
q_0024	0	chunk_24c5744e	2
q_0024	0	chunk_ddc1db00	2
q_0024	0	chunk_34ceaa4c	1
q_0025	0	chunk_434ecf2f	2
q_0025	0	chunk_24c5744e	2
q_0025	0	chunk_ddc1db00	2
q_0025	0	chunk_34ceaa4c	1
q_0026	0	chunk_434ecf2f	2
q_0026	0	chunk_24c5744e	2
q_0026	0	chunk_ddc1db00	2
q_0026	0	chunk_34ceaa4c	1
q_0027	0	chunk_434ecf2f	2
q_0027	0	chunk_24c5744e	2
q_0027	0	chunk_ddc1db00	2
q_0027	0	chunk_34ceaa4c	1
q_0028	0	chunk_434ecf2f	2
q_0028	0	chunk_24c5744e	2
q_0028	0	chunk_ddc1db00	2
q_0028	0	chunk_34ceaa4c	1
