display_id,query_id,question,reference_answer,chunk_id,source_document_title,candidate_chunk,owner_grade_2_1_0_U,owner_rationale
v2q-001-candidate-01,v2q-001,What is the minimum house size specified under PMAY-G?,"The minimum house size is 25 square metres, including a dedicated hygienic cooking area.",pilot-v2-doc-pmay-g-0004-f8ee90715c3f,Pradhan Mantri Awaas Yojana - Gramin,"such. In case all eligible SC and ST households are covered, the State/ UT targets would be allocated to beneficiaries from the 'Other' categories included in the Permanent Wait List drawn from SECC 2011. For Minorities: Further, as far as possible, 15% of the total fund would be earmarked for Minorities at the National Level for households. The allocation of targets for Minorities among the States/UTs will be on the basis of the proportionate rural population of Minorities in the respective State/UT as per Census 2011 data. Minorities notified under Section 2(c) of the National Commission for Minorities Act, 1992 are to be considered eligible for receiving benefits against Minority earmarks. For PwDs: Accordingly, in the scheme of PMAY-G, while deciding the inter-se priority among the beneficiaries who are to be provided assistance, households with any disabled member and no able-bodied adult member have been accorded additional deprivation score so that such households are given priority while allotting the houses. Keeping in view the provisions of the Persons with Disabilities Act, of 1995, the States to the extent possible, may ensure that 3% of beneficiaries at the State Level are from among persons with disabilities. Tie Breaker In case there is a tie with more than one household within a subgroup having the same deprivation score, the households will be ranked according to priority on the basis of the following parameters: i. Households with widows and next-of-kin of members of defence/paramilitary/police forces killed in action. ii. Households where a member is suffering from leprosy or cancer and People living with HIV (PLHIV). iii. Households with a single girl child. iv. Beneficiary families of the Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act, 2006, commonly known as the Forest Rights Act. v. Transgender persons.. Step 1: Exclusion",,
v2q-001-candidate-02,v2q-001,What is the minimum house size specified under PMAY-G?,"The minimum house size is 25 square metres, including a dedicated hygienic cooking area.",pilot-v2-doc-pmay-u-0001-b64fadc4bf6b,Pradhan Mantri Awas Yojana - Urban,"State Govt. - Min. ₹1.00 lakh/UnitDoDo. The family identifies as one of the following - a) Economically Weaker Section (EWS): households with annual income up to ₹3,00,000. b) Low Income Group (LIG): households with annual income between ₹3,00,001 and ₹6,00,000. c) Middle Income Group-1 (MIG-1): households with annual income between ₹6,00,001 and ₹12,00,000. d) Middle Income Group-2 (MIG-2): households with annual income between ₹12,00,001 and ₹18,00,000. The applicant or his/her family members must not own a pucca house in any part of the country. The family must comprise of husband/wife and unmarried children. The town/city in which the family resides must be covered under the scheme. The family MUST NOT have previously availed the benefits of any housing-related schemes set up by the Government of India.. Step 1: Interested beneficiary who wants to own a house under PMAY-U 2.0 can register herself/himself on the PMAY-U 2.0 website, wherein it is required to click on ‘Apply for PMAY-U 2.0’ tab. Step 2: The User is required to read and understand the instructions carefully, her/his eligibility criteria, the option to choose any one vertical out of the four verticals of PMAY-U 2,0 before availing the benefits. Step 3: After proceeding, the User needs to undergo the eligibility check for the scheme. Step 4: Once the Eligibility check is completed, the user shall give consent for Aadhaar authentication. Step 5: User will then be taken to the Beneficiary Survey Form for all verticals. The survey form has different sections. User Manual: Click here.. Step 1: Visit a Common Service Centre (CSC) near you. Step 2: Purchase the application form by paying ₹ 25 (plus GST) at the counter. Step 3: In the form, fill in all the mandatory details, and attach copies of the required documents. The details to be filled include name,",,
v2q-001-candidate-03,v2q-001,What is the minimum house size specified under PMAY-G?,"The minimum house size is 25 square metres, including a dedicated hygienic cooking area.",pilot-v2-doc-pmay-g-0003-2769023a3f73,Pradhan Mantri Awaas Yojana - Gramin,"not rank lower than other households within a priority group. Inter-se priority within the two subgroups viz. households which are automatically included and otherwise will be determined based on their cumulative deprivation scores. The scores will be calculated from the socio-economic parameters given below with each having equal weight: i. Households with no adult member between ages 16 to 59 ii. Female-headed households with no adult male member between ages 16 to 59 iii. Households with no literate adult above 25 years iv. Households with any disabled member and no able-bodied adult member v. Landless Households deriving the major part of their income from manual casual labor vi. Households with higher deprivation scores will be ranked higher within the subgroups. Note: To ensure that assistance is targeted at those who are genuinely deprived and that the selection is objective and verifiable, the housing deprivation parameters in the SECC data will be used for identifying households and then verified by the Gram Sabhas. Earmarking of Targets - For SC/ST: 60% of the target allocated to each State/ UT should be earmarked for SC/STs, subject to the availability of eligible beneficiaries. Within earmarked targets, the proportion of SC and ST is to be decided from time to time by the respective States/UTs. Further, the States/ UTs would be allowed to interchange targets between SC and ST if there are no eligible beneficiaries from either of the category and it is certified as such. In case all eligible SC and ST households are covered, the State/ UT targets would be allocated to beneficiaries from the 'Other' categories included in the Permanent Wait List drawn from SECC 2011. For Minorities: Further, as far as possible, 15% of the total fund would be earmarked for Minorities at the National Level for households. The allocation of",,
v2q-001-candidate-04,v2q-001,What is the minimum house size specified under PMAY-G?,"The minimum house size is 25 square metres, including a dedicated hygienic cooking area.",pilot-v2-doc-pmay-g-0002-e08c1e347071,Pradhan Mantri Awaas Yojana - Gramin,"electricity connection, clean & efficient cooking fuel, treatment of social and liquid waste, etc. Payments are made electronically directly to bank accounts or post office accounts that are linked to Aadhaar. Note: Beneficiaries are identified using the ""Housing Deprivation Parameters"" from the Socio-Economic and Caste Census (SECC) 2011, further verified by the Gram Sabhas.. The universe of eligible beneficiaries under PMAY-G will include all the houseless households living in zero, one, or two-room houses with kutcha walls and kutcha roofs (as per SECC data, and subject to the exclusion process). Criteria for Automatic/Compulsory Inclusion - 1. Households without shelter 2. Destitute/ living on alms 3. Manual scavengers 4. Primitive Tribal Groups 5. Legally released bonded laborer Prioritisation within the Universe i. There will be multilayered prioritization within the universe of eligible PMAY-G beneficiaries. Priority will first be assigned on the basis of parameters reflecting housing deprivation in each category viz., SC/ST, Minorities, and Others. ii. To begin with, households will be prioritized based on houselessness followed by the number of rooms; zero, one, and two rooms, in that order. iii. In a particular social category viz., SC/ST, Minorities, and Others, households that are houseless or living in houses with a lower number of rooms shall not be ranked below households living in houses with a higher number of rooms. Within the above priority groups, households that fulfill the criteria of ""compulsory inclusion"", will be further elevated. Automatically included households shall not rank lower than other households within a priority group. Inter-se priority within the two subgroups viz. households which are automatically included and otherwise will be determined based on their cumulative deprivation scores. The scores will be calculated from the socio-economic parameters given below with each having equal weight: i. Households with no adult member between ages 16 to 59",,
v2q-001-candidate-05,v2q-001,What is the minimum house size specified under PMAY-G?,"The minimum house size is 25 square metres, including a dedicated hygienic cooking area.",pilot-v2-doc-pmuy-0001-5fd4d0cd2135,Pradhan Mantri Ujjwala Yojana,"Rs. 1150 for a 5 kg cylinder. Additionally, All PMUY beneficiaries will be provided with first LPG refill and Stove (hot plate) both free of cost along with their deposit free connection. Note: Priority would be given to the states which have lower LPG coverage (Compared to the national average) as on 1st Jan 2016.. An adult woman belonging to a poor household and not having an LPG connection in her household will be eligible under UJJWALA 2.0. The beneficiaries should belong to any of the following categories: Eligible as per SECC 2011 list Belongs to SC/ST households, be a beneficiary of Pradhan Mantri Awas Yojana (PMAY), Antyodaya Anna Yojana (AAY), Forest dwellers, Most Backward Classes (MBC), Tea and Ex-Tea Garden Tribes, People residing in river islands (Beneficiary will submit supporting document) If she is not falling in the above 2 categories, then she can stake her claim to be a beneficiary under Poor household by submitting 14-point declaration (as per prescribed format). Male Member from a household cannot apply for the scheme.. Following are the prerequisites for the enrollment process: Aadhar Card Ration card Address Proof Passport size photograph Bank Details Apply the application form through online official website. 1. Select the oil company name example Indane / Bharatgas / HP Gas Select Type of Connection like Ujjwala 2.0 New Connection Choose State, District and Name of Distributor. Enter Mobile Number, Captcha and OTP. Select Migrant Family status in YES or NO For family Identifier in NO fill Annexure 1 For family Identifier in Yes fill Ration Card Select Category. Fill all Family Details, Personal details, address details, bank details, Choose Cylinder Types, Select rural or urban and select declaration and submit. Generate Reference number and visit Gas agency.",,
v2q-001-candidate-06,v2q-001,What is the minimum house size specified under PMAY-G?,"The minimum house size is 25 square metres, including a dedicated hygienic cooking area.",pilot-v2-doc-pmay-u-0000-0b5e95b2690a,Pradhan Mantri Awas Yojana - Urban,"Pradhan Mantri Awas Yojana - Urban. Ministry Of Housing & Urban Affairs. The “Pradhan Mantri Awas Yojana – Urban (PMAY-U)” was launched on 25th June 2015 by the Ministry of Housing &amp; Urban Affairs, Government of India with the vision of “Housing for All” to provide pucca houses to eligible urban households. Implemented by the Ministry of Housing and Urban Affairs, the scheme addresses urban housing shortages, especially for EWS, LIG, and MIG categories, including slum dwellers. It promotes affordable and sustainable housing through components like the Credit Linked Subsidy Scheme (CLSS), offering interest subsidies on housing loans. The mission covers all statutory towns and notified urban areas as per Census 2011. Aadhaar is mandatory for all eligible beneficiaries under the scheme.. Pradhan Mantri Awas Yojana - Urban (PMAY-U) Scheme was launched on 25th June 2015 by the Hon’ble Prime Minister to provide all-weather pucca houses to all eligible urban households across the nation with the vision of ‘Housing for All’.. States/UTsBLC &amp;amp;amp; AHPARHISSAssam, Arunachal Pradesh, Meghalaya, Manipur, Mizoram, Nagaland, Tripura, Sikkim, Himachal Pradesh, Uttarakhand, UTs of Jammu and Kashmir, Puducherry, and DelhiCentral Govt. - ₹2.25 lakh/Unit; State Govt. - Min. ₹0.25 lakh/UnitTechnology Innovation Grant Central Govt. - ₹3,000/sqm per unit State Govt.- ₹2,000/sqm per unit Home Loan Subsidy – up to ₹1.80 lakh (Actual Release) per unit by the Government of India as a Central Sector SchemeAll other UTsCentral Govt. - ₹2.50 lakh/UnitDoDoAll other StatesCentral Govt. - ₹1.5 lakh/Unit; State Govt. - Min. ₹1.00 lakh/UnitDoDo. The family identifies as one of the following - a) Economically Weaker Section (EWS): households with annual income up to ₹3,00,000. b) Low Income Group (LIG): households with annual income between ₹3,00,001 and ₹6,00,000. c) Middle Income Group-1 (MIG-1): households with annual income between ₹6,00,001 and ₹12,00,000. d) Middle Income Group-2 (MIG-2): households with",,
v2q-001-candidate-07,v2q-001,What is the minimum house size specified under PMAY-G?,"The minimum house size is 25 square metres, including a dedicated hygienic cooking area.",pilot-v2-doc-pmay-g-0001-db2db8af1543,Pradhan Mantri Awaas Yojana - Gramin,"years from 2016-17 to 2018-19 and enable construction of quality houses by the beneficiaries using local materials, designs and trained masons. For houses to become homes, adoption of a habitat approach through convergence is proposed.. Launch on 1st April 2016, Pradhan Mantri Awaas Yojana Gramin (PMAY-G) is centre's flagship mission by the Ministry of Rural Development (MoRD), implemented by the Ministry of Housing and Urban Affairs (MoHUA). PMAY-G addresses the rural housing shortage and bridges the housing deficit in rural areas. Financial Assistance of ₹ 1,20,000 per unit for plain areas; and ₹ 1,30,000 per unit for hilly areas, difficult areas, and IAP districts (Himalayan states, North-Eastern states, and Union Territories of Jammu & Kashmir). A willing beneficiary can avail of institutional finance (loan) of up to ₹ 70,000 at 3% lower interest rate, to build a permanent house. The maximum principal amount for which subsidy can be sought is ₹ 2,00,000. The minimum size of the house shall be is 25 sq m including a dedicated area for hygienic cooking. In convergence with Swachh Bharat Mission-Gramin (SBM-G), the beneficiaries get financial assistance of up to ₹ 12,000 for the construction of toilets. In convergence with MGNREGA, the beneficiary is entitled to employment as unskilled labor (Rural Mason Training) at ₹ 90.95 per day for 95 days. In convergence with Pradhan Mantri Ujjwala Yojana, one LPG connection per house is provided. Convergence with different government programmes for piped drinking water, electricity connection, clean & efficient cooking fuel, treatment of social and liquid waste, etc. Payments are made electronically directly to bank accounts or post office accounts that are linked to Aadhaar. Note: Beneficiaries are identified using the ""Housing Deprivation Parameters"" from the Socio-Economic and Caste Census (SECC) 2011, further verified by the Gram Sabhas.. The universe of eligible beneficiaries under",,
v2q-001-candidate-08,v2q-001,What is the minimum house size specified under PMAY-G?,"The minimum house size is 25 square metres, including a dedicated hygienic cooking area.",pilot-v2-doc-pm-janman-0002-d0844e3327b6,PM Janjati Adivasi Nyaya Maha Abhiyan (PM JANMAN),"physical survey conducted by state governments using the mobile application on the PM Gati-shakti Portal. Eligibility Specific to Interventions The applicant household seeking a pucca house must currently reside in a kaccha house. The applicant household seeking solar power solutions must be an unelectrified household not covered under the Revamped Distribution Sector Scheme (RDSS). The applicant household seeking an on-grid electricity connection shall be an identified beneficiary household under PM-JANMAN, irrespective of standard eligibility criteria under the Revamped Distribution Sector Scheme (RDSS) for the State and Electricity distribution company (DISCOM).. Step 1: Initiation of Identification and Physical Survey The State Governments initiates a detailed physical survey of each Particularly Vulnerable Tribal Group habitation to ascertain the gaps regarding the 11 critical interventions covered under the mission. The data gathered during this exhaustive survey is simultaneously updated and cross-verified on a mobile application developed on the PM Gati-shakti Portal. Step 2: Facilitation of Application Filing for Eligible Beneficiaries The Block Level Implementation Team, consisting of officers designated by the District Collector, will be responsible for identifying each beneficiary family who has not yet been saturated with entitlements and will facilitate the necessary application filing for the respective schemes. The District Level Committee is also responsible for the registration and filling of applications of eligible beneficiaries for each scheme covered under the mission. Step 3: Verification and Project Approval Following the application filing and preliminary eligibility checks, certain proposals for infrastructure, such as the sanctioning of Multi-Purpose Centers, must be forwarded by the Secretary/Principal Secretary, State Tribal Welfare Department to the Ministry of Tribal Affairs. These proposals are subsequently examined by the relevant division, approved by the Mission Director of PM-JANMAN, and granted financial concurrence by the Internal Finance Division.",,
v2q-001-candidate-09,v2q-001,What is the minimum house size specified under PMAY-G?,"The minimum house size is 25 square metres, including a dedicated hygienic cooking area.",pilot-v2-doc-pmay-g-0005-c6e2fcfefcd0,Pradhan Mantri Awaas Yojana - Gramin,"defence/paramilitary/police forces killed in action. ii. Households where a member is suffering from leprosy or cancer and People living with HIV (PLHIV). iii. Households with a single girl child. iv. Beneficiary families of the Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act, 2006, commonly known as the Forest Rights Act. v. Transgender persons.. Step 1: Exclusion of pucca houses All households living in houses with pucca roofs and/or pucca walls and households living in houses with more than 2 rooms are filtered out. Step 2: Automatic Exclusion From the remaining set of households, all households fulfilling any one of the 13 parameters listed below are automatically excluded:- 1. Motorised two/three/four wheeler/ fishing boat 2. Mechanised three/four-wheeler agricultural equipment 3. Kisan Credit Card with a credit limit of Rs.50,000 or above 4. Household with any member as a Government employee 5. Households with non-agricultural enterprises registered with the Government 6. Any member of the family earning more than Rs.10,000 per month 7. Paying income tax 8. Paying professional tax 9. Own a refrigerator 10. Own a landline phone 11. Own 2.5 acres or more of irrigated land with at least one irrigation equipment 12. 5 acres or more of irrigated land for two or more crop seasons 13. Owning at least 7.5 acres of land or more with at least one irrigation equipment. Beneficiary Registration Manual - https://pmayg.nic.in/netiayHome/Document/Document-PMAYG-Registratio-Manual.pdf There are four sections to the beneficiary registration process: Personal details, Bank account details, Convergence details, and Details from the concerned office. To successfully register or add the beneficiary, follow the steps given below: Visit the official website for login PMAY-G. Fill in the details required in the personal details section (such as gender, mobile number, Aadhaar number, etc.) Upload the consent form required to use the Aadhaar number.",,
v2q-001-candidate-10,v2q-001,What is the minimum house size specified under PMAY-G?,"The minimum house size is 25 square metres, including a dedicated hygienic cooking area.",pilot-v2-doc-pm-poshan-0000-7be831685336,PM POSHAN - Prime Minister's Overarching Scheme For Holistic Nourishment,"PM POSHAN - Prime Minister's Overarching Scheme For Holistic Nourishment. Ministry of Education. Department of School Education and Literacy. Ministry Of Education. PM POSHAN is a centrally sponsored scheme by the Department of School Education & Literacy, Ministry of Education. Under this scheme, one hot cooked meal will be provided to the children studying in Government and Government – aided schools. The Scheme is implemented across the country covering all the eligible children without any discrimination of gender and social class. The main objectives of the PM POSHAN Abhiyaan are to address two of the pressing problems for the majority of children in India, viz. hunger and education by improving the nutritional status of eligible children in Government and Government-aided schools as well as encouraging poor children, belonging to disadvantaged sections, to attend school more regularly and help them concentrate on classroom activities. POSHAN Abhiyaan is one of the many schemes under the umbrella scheme ""Integrated Child Development Services Scheme (ICDS)"". ICDS also includes Anganwadi Services Scheme, Pradhan Mantri Matru Vandana Yojana, and Scheme for Adolescent Girls.. PM POSHAN is a centrally sponsored scheme by the Department of School Education & Literacy, Ministry of Education. Under this scheme, one hot cooked meal will be provided to the children studying in Government and Government – aided schools. The Scheme is implemented by the Ministry of Education.. Nutrition norm per child per day: Primary: Calorie – 450; Protein - 12 gms Upper Primary: Calorie – 700; Protein - 20 gms Food norms per child per day: Primary: Food grains - 100 gms; Pulses - 20 gms; Vegetables - 50 gms; Oil & fat - 5 gms, Salt & condiments - As per need. Upper Primary: Food grains - 150 gms; Pulses - 30 gms; Vegetables - 75 gms; Oil & fat –",,
