query_id,query_text,category,difficulty,point_biserial,flagged,status,bm25_gold_rank,faiss_windowed_max_gold_rank,graph_v3_2_gold_rank,hybrid_rrf_gold_rank,prompt_rag_claude_gold_rank
v2q-001,What is the minimum house size specified under PMAY-G?,exact_lookup,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-002,"What maximum premium rates can farmers pay under PMFBY for Kharif, Rabi, and annual commercial or horticultural crops?",exact_lookup,0.0,,True,undefined_all_same,1,1,2,1,1
v2q-003,What revised overdraft limit and RuPay accidental-insurance cover are stated for PMJDY?,exact_lookup,0.0,,True,undefined_all_same,1,5,1,1,1
v2q-004,What is the maximum micro-loan amount stated for PMMY?,exact_lookup,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-005,How many days of wage employment does MGNREGA guarantee a rural household in a financial year?,exact_lookup,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-006,What annual hospitalisation cover does AB-PMJAY provide per eligible family?,exact_lookup,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-007,"What is the full form of PMJJBY, and which event does its life insurance cover?",terminology,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-008,"Which accident-insurance programme is abbreviated PMSBY, and which outcomes trigger its cover?",terminology,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-009,"What does APY stand for, and what monthly pension range does it guarantee after age 60?",terminology,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-010,"What is the full form of PM POSHAN, and what meal benefit does it provide?",terminology,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-011,"What does PM JANMAN stand for, and which communities does it target?",terminology,0.0,,True,undefined_all_same,1,2,1,1,1
v2q-012,"What does PM SVANidhi stand for, and who is its intended beneficiary group?",terminology,0.0,,True,undefined_all_same,2,1,1,1,1
v2q-019,What role does the Ministry of Petroleum and Natural Gas have in Ujjwala 2.0?,entity_relation,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-020,How do NSDC and SPIAs divide responsibility in the Special Projects arm of the national skill mission?,entity_relation,0.0,,True,undefined_all_same,1,2,1,1,1
v2q-021,How do insurance companies and banks participate in PMFBY?,entity_relation,0.0,,True,undefined_all_same,1,1,2,1,1
v2q-022,Which finance programme relies on Member Lending Institutions to extend assistance to non-corporate micro-enterprises?,entity_relation,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-023,What role does a Gram Panchayat play when a household registers for MGNREGA?,entity_relation,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-024,Which national health-assurance programme does NHA implement under the health ministry?,entity_relation,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-025,"What banking function does PMJDY provide, and which other programme from its ministry finances income-generating micro-enterprises?",multi_hop,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-026,"What employment guarantee does MGNREGA provide, and which other programme from its ministry supplies pucca houses to rural households?",multi_hop,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-027,"What livelihood mechanism does PM SVANidhi offer street vendors, and which other programme from its ministry addresses housing shortages for eligible urban households?",multi_hop,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-028,"What does PMKVY Recognition of Prior Learning certify, and which other pathway from its ministry serves candidates seeking fresh short-term skills training?",multi_hop,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-029,"What migrant-focused facility distinguishes Ujjwala 2.0, and what clean-cooking transition was established by its predecessor programme?",multi_hop,0.0,,True,undefined_all_same,1,2,1,1,1
v2q-030,"What retirement benefit does APY offer, and which life-insurance programme administered through the same department covers death from any cause?",multi_hop,0.0,,True,undefined_all_same,1,1,1,1,1
v2q-015,Which initiative helps job-seekers and established craftspeople launch small businesses outside agriculture?,paraphrase,0.6,0.19660139417873654,False,positive,16,2,999,16,1
v2q-013,Which initiative helps women in low-income countryside homes replace smoke-producing solid cooking materials with bottled gas?,paraphrase,0.1999999999999999,0.8872460890062845,False,positive,1,4,999,1,1
v2q-014,"Under the national ration programme, what monthly cereal allocation goes to families in the poorest entitlement tier and to each person in the priority tier?",paraphrase,0.1999999999999999,0.8872460890062845,False,positive,1,1,999,1,1
v2q-016,How can an experienced worker obtain formal recognition for skills learned outside a training course?,paraphrase,0.1999999999999999,0.8872460890062845,False,positive,1,4,999,1,1
v2q-017,Which training route serves people no longer in education or work who need an initial occupational skill?,paraphrase,0.1999999999999999,0.8872460890062845,False,positive,1,4,999,1,1
v2q-018,Which initiative helps city households across officially defined lower and middle income bands obtain permanent homes?,paraphrase,0.1999999999999999,0.8872460890062845,False,positive,1,5,999,1,1
v2q-031,"How do three finance-sector programmes combine basic banking, life insurance, and accident insurance?",synthesis,0.1999999999999999,0.8872460890062845,False,positive,1,1,999,1,1
v2q-032,"How do three farmer programmes separately address crop loss, current income needs, and old-age income security?",synthesis,0.1999999999999999,0.8872460890062845,False,positive,2,1,999,2,4
v2q-033,"How do three programmes support micro-enterprises, new enterprise creation, and street-vendor livelihoods through different financial mechanisms?",synthesis,0.1999999999999999,0.8872460890062845,False,positive,1,1,999,1,1
v2q-034,"How do three programmes meet distinct household needs for rural housing, clean cooking, and food security?",synthesis,0.1999999999999999,0.8872460890062845,False,positive,1,1,999,1,1
