display_id,query_id,question,reference_answer,source_document_title,candidate_chunk,first_pass_grade,second_pass_grade,grade_transition,final_grade,owner_rationale
v2q-012-candidate-17,v2q-012,"What does PM SVANidhi stand for, and who is its intended beneficiary group?",PM SVANidhi stands for PM Street Vendor’s AtmaNirbhar Nidhi and supports street vendors through working-capital and related incentives.,PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi),"The vendors of surrounding development/ peri-urban/rural areas vending in the geographical limits of the ULBs, who have been issued a Letter of Recommendation (LoR) to that effect by the ULB / TVC.. Step 1: Visit https://pmsvanidhi.mohua.gov.in/ and click on the ""Log In"" button on the homepage. Step 2: Enter Mobile number and captcha. Click request OTP. Step 3: After successful login, select valid ""vendor category"" among the available options. Enter ""Survey Reference Number"" (SRN) which is mandatory. Step 4: On entering these basic details, fill the application form online, upload the relevant documents and submit. Note: For any kind of clarification and access detailed stepwise process, refer User Manual.- For any query one can call on the toll free number i.e 1800111979 between 9.30 AM to 6.00 PM on Monday to Saturday except national holidays. Contact Details: Click here.. Step 1: Understand the information documents required to fill out the Loan application form (LAF) for the Scheme. Step 2: Keep all the information ready before you start the application process. Step 3: Ensure the mobile phone is linked to the Aadhaar number. Step 4: This will be required for e-KYC/Aadhaar validation during online application process. Step 5: It will also help you to get a letter of Recommendation from ULB (in case required). Step 6: It will also help you avail future benefits under Government welfare schemes. Step 7: Check your eligibility status as per the scheme Rules. Step 8: One will fall in one of the 4 categories of Street vendors. Step 9: Check your status and the documents/ information that you need to keep ready.",2,1,2 → 1,1,"The chunk identifies the intended beneficiaries as street vendors and provides eligibility/application details. However, it does not explicitly state that PM SVANidhi stands for PM Street Vendor's AtmaNirbhar Nidhi, which is a required part of the question. Therefore, the response follows the correct scheme but omits one requested fact, supporting Grade 1."
v2q-015-candidate-09,v2q-015,Which initiative helps job-seekers and established craftspeople launch small businesses outside agriculture?,"The Prime Minister's Employment Generation Programme supports new micro-enterprises to create self-employment for traditional artisans, unemployed youth, and other eligible beneficiaries.",Prime Minister's Employment Generation Programme,"is eligible for obtaining financial assistance for setting up of projects under PMEGP. The 'family’ includes self and spouse. Negative List of Activities: The following list of activities will not be permitted under PMEGP for setting up of micro enterprises/ projects/units:- Any Industry/ Business connected with Meat(slaughtered), i.e., processing, canning and/or serving items made of it as food, production/Manufacturing or sale of intoxicant items like Beedi/Pan/ Cigar/Cigarette etc., any Hotel or Dhaba or sales outlet serving liquor, preparation/producing tobacco as raw materials, tapping of toddy for sale will not be allowed. Any Industry/Business connected with cultivation of crops/plantation like Tea, Coffee, Rubber etc. Sericulture (Cocoon rearing), Horticulture, Floriculture, Animal Husbandry will not be allowed.However, value addition under these will be allowed under PMEGP. Off Farm/Farm Linked activities in connection with sericulture, horticulture, floriculture etc. will also be allowed. Activities prohibited by Local Government/Authorities keeping in view environment or socio-economic factors will not be allowed .. Application For New Unit: Step 1: Visit the official website. Step 2: Click on the “Apply” button under the “Application For New Unit” tab . Step 3: Furnish all the required details on the Online Application Form and click on ""Save Applicant Data"". Step 4: On the next page, upload the required documents and proceed for final submission. Application For Existing Units (2nd Loan): Step 1: Visit the official website. Step 2: Click on the “Apply” button under the “Application For Existing Units (2nd Loan)” tab. Step 3: Click on the Online Application tab and fill out the Online Application Form. Step 4: Complete the form and click on Next page, upload the required documents and proceed for final submission. Login Form For Registered Applicant of Second Loan Subsidy for Upgrading of Existing Unit: Step 1: Visit the official website of the PMEGP Portal. Step",2,1,2 → 1,1,"The chunk discusses eligibility, exclusions, and the application process for PMEGP but does not state that the programme helps unemployed youth and artisans establish new micro-enterprises outside agriculture. The core fact requested is missing."
v2q-016-candidate-06,v2q-016,How can an experienced worker obtain formal recognition for skills learned outside a training course?,"PMKVY 4.0 Recognition of Prior Learning assesses, upskills, and certifies candidates who already possess relevant skills or prior-learning experience.",Pradhan Mantri Kaushal Vikas Yojana 4.0 - Recognition Of Prior Learning,"base cost: a fixed cost of ₹2,000 per candidate applies for RPL at an Accredited and Affiliated Training Centre and ₹1,700 for RPL at Industry premises for 12 hours of training; the reduction of ₹300 at Industry premises is owing to availability of infrastructure and lower mobilisation cost. Additional hours beyond 12 are paid at the discounted Common Norm of ₹27.89 per hour.) Mode of disbursement: Funds are transferred directly to the RPL-PIA's bank account through Direct Benefit Transfer (DBT). Frequency / time of disbursement: Payment is made in two tranches: Tranche 1 — 80% on assessment results being uploaded by the assessing body; Tranche 2 — 20% on submission/uploading of the Monthly Performance Report (MPR) and proof of certificate handover (with or without the distribution ceremony).. The applicant should be an Indian national. The applicant should possess a valid Aadhaar. The applicant should be in the age group of 18 to 59 years. The applicant should be a candidate with prior learning experience or skills, willing to get assessed and certified. The applicant should have prior experience in the job role for which RPL certification is being sought, as specified in the job role. The applicant should fulfil the eligibility criteria of the respective job role. The applicant should not be enrolled again in the same job role in which he/she was already trained earlier. The applicant, if already certified once under PMKVY, opting for a lower NSQF-level course in the same sector, shall be discouraged; however, a higher job role in the same sector is permitted. The applicant may enrol not more than twice in the same sector, with a six-month gap between the certification date of the first course and the batch start date of the subsequent course.. The interested candidate can contact the nearest Training Center",1,2,1 → 2,2,The chunk explicitly states that applicants must already possess prior learning or work experience and are assessed and certified under RPL. This directly answers how experienced workers obtain formal recognition for existing skills.
v2q-016-candidate-10,v2q-016,How can an experienced worker obtain formal recognition for skills learned outside a training course?,"PMKVY 4.0 Recognition of Prior Learning assesses, upskills, and certifies candidates who already possess relevant skills or prior-learning experience.",Pradhan Mantri Kaushal Vikas Yojana 4.0 - Recognition Of Prior Learning,"in the same sector, shall be discouraged; however, a higher job role in the same sector is permitted. The applicant may enrol not more than twice in the same sector, with a six-month gap between the certification date of the first course and the batch start date of the subsequent course.. The interested candidate can contact the nearest Training Center to apply. Training Center: https://www.pmkvyofficial.org/trainingcenter. The applicant first registers on the Skill India Digital (SID) platform or the mobile application developed for the purpose; profile verification is completed through mobile-based OTP / eKYC, and a de-duplication check is carried out. The applicant is counselled by the PIA/trainer on areas including a brief about MSDE, the Skill India programme, and RPL processes; eligibility for RPL certification; benefits and how to avail them; possible career progression (vertical and horizontal); and employment opportunities. The Induction Video on RPL is also shown at this stage. Stage 1: The applicant is pre-screened by the Awarding Body through a robust process to ascertain the existing level of prior learning. This includes Part 1 (collection of supporting documentation and evidence from the candidate) and Part 2 (assessment of the candidate's previous knowledge). No payment is charged for pre-screening. Stage 2: The candidate's experiential learning outcomes are categorised as equal to or more than 70% of the qualification learning outcomes, or as less than 70%. Stage 3: The applicant undergoes a minimum of 30 hours of classroom orientation, either General Orientation (with modules for Employability Skills, Career Progression, Opportunities for formal education, etc.) or Orientation with NOS (with modules for NOS, Employability Skills, Career Progression, etc.). The maximum duration of RPL is 132 hours. Stage 4: The applicant undergoes assessment (Theory and Practical), conducted by the Awarding Bodies, equivalent to STT assessment, with AEBAS-based compulsory attendance. Stage 5:",1,2,1 → 2,2,"The chunk clearly explains the Recognition of Prior Learning process, including pre-screening, assessment, orientation, and certification of existing skills. It directly answers the question, warranting Grade 2."
v2q-016-candidate-16,v2q-016,How can an experienced worker obtain formal recognition for skills learned outside a training course?,"PMKVY 4.0 Recognition of Prior Learning assesses, upskills, and certifies candidates who already possess relevant skills or prior-learning experience.",Pradhan Mantri Kaushal Vikas Yojana 4.0 - Recognition Of Prior Learning,"charged to the candidate for pre-screening. Assessment and Certification, with a payout of ₹600 per candidate per assessment provided to the Sector Skill Councils (SSCs) / Awarding Bodies for overseeing and facilitating final assessments. Accidental Insurance with one year of coverage, paid from the scheme (as per prevailing rates, ₹14.16). A T-shirt is provided to the trainee by the RPL-PIA at its own cost. A graded Skill Certificate and Marksheet on passing, with the grade awarded as Grade A (85% and above) or Grade B (70% to less than 85%). Conditions associated with the benefits: The pass percentage for a Qualification Pack (QP) is 70%; a candidate must achieve marks greater than or equal to 70% to be awarded the Skill Certificate. Marks scored in the Core National Occupational Standards (NOS) of a QP are given 70% weightage, and the remaining 30% weightage is from the Non-Core NOS. Certification is at the same NSQF level as determined during pre-screening. AEBAS-based compulsory attendance is applicable, and more than 70% biometric attendance is required to appear for the assessment. Indicative average unit (per-candidate) cost by RPL type RPL with upskilling (30 hours) at an Accredited and Affiliated Training Centre: ₹3,126.18 per candidate. RPL with upskilling (30 hours) at Industry premises: ₹2,826.18 per candidate. RPL with upskilling (60 hours) at an Accredited and Affiliated Training Centre: ₹3,962.88 per candidate. RPL with upskilling (60 hours) at Industry premises: ₹3,662.88 per candidate. (Note on the base cost: a fixed cost of ₹2,000 per candidate applies for RPL at an Accredited and Affiliated Training Centre and ₹1,700 for RPL at Industry premises for 12 hours of training; the reduction of ₹300 at Industry premises is owing to availability of infrastructure and lower mobilisation cost. Additional hours beyond 12 are paid at the discounted Common Norm of",2,1,2 → 1,1,"The chunk focuses on benefits, costs, certification criteria, and payouts but does not explain how an experienced worker obtains recognition through the RPL process. The requested fact is absent."
v2q-025-candidate-13,v2q-025,"What banking function does PMJDY provide, and which other programme from its ministry finances income-generating micro-enterprises?","PMJDY provides universal banking services for unbanked households. PMMY, under the same Ministry of Finance, provides micro-credit for income-generating micro-enterprises.",Pradhan Mantri Jan Dhan Yojana,"Pradhan Mantri Jan Dhan Yojana. Ministry Of Finance. Department of Financial Service. Banks. A National Mission for Financial Inclusion (NMFI), namely, Pradhan Mantri Jan Dhan Yojana (PMJDY) was launched across the Country in August, 2014 by the Prime Minister with the idea to ensure that citizens envisage their financial activities. PMJDY provides universal banking services for every unbanked household, based on the guiding principles of banking the unbanked, securing the unsecured, funding the unfunded and serving unserved and underserved areas. In order to give impetus to financial inclusion initiatives of the Government, PMJDY scheme was extended beyond 14.08.2018 with the focus on opening of accounts shifting from “every household” to “every unbanked adult”. The scheme has been made more attractive with upward revision in (i) OD limit from Rs. 5,000/- to Rs. 10,000/- and (ii) Accidental insurance cover on RuPay card holders from Rs.1 lakh to Rs.2 lakhs. PMJDY has been successful in increasing banking penetration and promoting financial inclusion across the country. The scheme has ensured access to various financial services like availability of basic savings bank account, access to need based credit, remittances facility, insurance and pension to the excluded sections i.e. weaker sections &amp; low-income groups.. A National Mission for Financial Inclusion (NMFI), namely, Pradhan Mantri Jan Dhan Yojana (PMJDY) was launched by the Prime Minister across the country on 28th August, 2014. It envisages to provide universal banking services for every unbanked adult in the country.. Basic Savings Bank Deposit Account (BSBDA) Any Indian citizen eligible to open a regular bank account can open a BSBDA. Such an account does not require any minimum balance maintenance. The account holders can use both bank branches, ATMs and Banking Correspondents (BCs) for depositing and withdrawing cash. However, one cannot withdraw cash more than four times a month. Small",2,1,2 → 1,2,"The chunk clearly states that PMJDY provides universal banking services. Under the multi-part grading rubric, correctly stating one requested programme's relevant component is sufficient for Grade 2; omission of PMMY does not warrant a downgrade."
v2q-031-candidate-13,v2q-031,"How do three finance-sector programmes combine basic banking, life insurance, and accident insurance?",PMJDY provides universal banking and access to financial services; PMJJBY supplies life cover for death from any cause; PMSBY supplies accidental-death and disability cover.,Pradhan Mantri Jan Dhan Yojana,"Pradhan Mantri Jan Dhan Yojana. Ministry Of Finance. Department of Financial Service. Banks. A National Mission for Financial Inclusion (NMFI), namely, Pradhan Mantri Jan Dhan Yojana (PMJDY) was launched across the Country in August, 2014 by the Prime Minister with the idea to ensure that citizens envisage their financial activities. PMJDY provides universal banking services for every unbanked household, based on the guiding principles of banking the unbanked, securing the unsecured, funding the unfunded and serving unserved and underserved areas. In order to give impetus to financial inclusion initiatives of the Government, PMJDY scheme was extended beyond 14.08.2018 with the focus on opening of accounts shifting from “every household” to “every unbanked adult”. The scheme has been made more attractive with upward revision in (i) OD limit from Rs. 5,000/- to Rs. 10,000/- and (ii) Accidental insurance cover on RuPay card holders from Rs.1 lakh to Rs.2 lakhs. PMJDY has been successful in increasing banking penetration and promoting financial inclusion across the country. The scheme has ensured access to various financial services like availability of basic savings bank account, access to need based credit, remittances facility, insurance and pension to the excluded sections i.e. weaker sections &amp; low-income groups.. A National Mission for Financial Inclusion (NMFI), namely, Pradhan Mantri Jan Dhan Yojana (PMJDY) was launched by the Prime Minister across the country on 28th August, 2014. It envisages to provide universal banking services for every unbanked adult in the country.. Basic Savings Bank Deposit Account (BSBDA) Any Indian citizen eligible to open a regular bank account can open a BSBDA. Such an account does not require any minimum balance maintenance. The account holders can use both bank branches, ATMs and Banking Correspondents (BCs) for depositing and withdrawing cash. However, one cannot withdraw cash more than four times a month. Small",2,1,2 → 1,2,"The chunk correctly states PMJDY's universal banking function. Under the multi-part grading rubric, correctly stating one requested programme's relevant component is sufficient for Grade 2; omission of PMJJBY and PMSBY does not warrant a downgrade."
v2q-033-candidate-01,v2q-033,"How do three programmes support micro-enterprises, new enterprise creation, and street-vendor livelihoods through different financial mechanisms?","PMMY provides micro-credit to eligible micro-enterprises; PMEGP uses a credit-linked subsidy to establish new micro-enterprises; PM SVANidhi provides street vendors collateral-free working-capital loans, interest subsidy, and digital-payment incentives.",Prime Minister's Employment Generation Programme,"Prime Minister's Employment Generation Programme. Ministry Of Micro, Small and Medium Enterprises. Khadi And Village Industries Commission (KVIC). The &quot;Prime Minister’s Employment Generation Programme (PMEGP)&quot; is a credit-linked subsidy scheme launched in 2008 by the Ministry of Micro, Small, and Medium Enterprises (MSME). The scheme aims to generate employment opportunities by supporting the establishment of new micro-enterprises in both rural and urban areas. It promotes self-employment among traditional artisans, unemployed youth, and other eligible beneficiaries in the non-farm sector. PMEGP is being implemented by the Khadi and Village Industries Commission (KVIC) along with KVIBs, DICs, Coir Board, and banks. The scheme has been continued for the period 2021-22 to 2025-26 to support enterprise creation and sustainable livelihood generation across the country.. Launched in August 2008, Prime Minister's Employment Generation Programme (PMEGP) is a credit-linked subsidy scheme, administered by the Ministry of Micro, Small and Medium Enterprises (MSME). PMEGP aims to generate employment opportunities through the establishment of micro-enterprises in. Funds under PMEGP Scheme will be available under two major heads: 1. Margin Money Subsidy a) Funds will be allocated under annual Budget Estimates toward disbursement of Margin Money (subsidy) for setting up new micro-enterprises/units; and b) From the funds allocated under BE for the Margin Money subsidy, ₹ 100 Crores or as approved by the competent authority will be earmarked for each FY towards disbursement of Margin Money (subsidy) for the upgradation of existing PMEGP/REGP/MUDRA units. 2. Backward and Forward Linkages 5% of the total allocation under BE for a Financial Year against PMEGP, or as approved by the competent authority, shall be earmarked as funds under Backward and Forward Linkages and will be utilized for arranging awareness camps, State/District level monitoring meetings, Workshops, Exhibitions, Bankers meetings, TNDA, Publicity, Entrepreneurship Development Programme (EDP) training, Physical verification & Geo-tagging, Evaluation &",2,1,2 → 1,2,"The chunk correctly explains PMEGP as support for establishing new micro-enterprises. Under the multi-part grading rubric, correctly stating one requested programme's relevant component is sufficient for Grade 2."
v2q-033-candidate-13,v2q-033,"How do three programmes support micro-enterprises, new enterprise creation, and street-vendor livelihoods through different financial mechanisms?","PMMY provides micro-credit to eligible micro-enterprises; PMEGP uses a credit-linked subsidy to establish new micro-enterprises; PM SVANidhi provides street vendors collateral-free working-capital loans, interest subsidy, and digital-payment incentives.",PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi),"PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi). Ministry Of Housing & Urban Affairs. Urban Local Bodies (ULBs) And Town Vending Committees (TVCs). The scheme &quot;PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi)&quot; by the Ministry of Housing and Urban Affairs, Government of India aims to formalize street vendors and enhance their economic opportunities through providing collateral-free working capital loans, interest subsidy, and digital transaction incentives to street vendors. It was launched on 1st June 2020 as a central sector scheme. The scheme supports vendors in restarting and expanding their businesses. It also promotes digital payments to increase financial inclusion. Street vendors include hawkers, thelewala, rehriwala, and others engaged in small-scale vending activities. The scheme aims to formalize the street vendors and open up new opportunities for this sector to move up the economic ladder. Street vendors represent a very important constituent of the urban informal economy and play a significant role in ensuring availability of the goods and services at affordable rates at the doorstep of the city dwellers. They are known as vendors, hawkers, thelewala, rehriwala, theliphadwala, etc. in different areas/ contexts. The goods supplied by them include vegetables, fruits, ready-to-eat street food, tea, pakodas, bread, eggs, textile, apparel, footwear, artisan products, books/ stationary, etc. The services include barber shops, cobblers, pan shops, laundry services, etc.. PM SVANidhi is a micro-credit scheme launched on 1st June 2020 by the MoHUA to provide handholding support to street vendors. The scheme facilitates a working capital collateral-free loan of ₹10,000, with subsequent loans of ₹20,000 and ₹50,000 with a 7% interest subsidy.. Working Capital Loan: 1st Tranche: Loan up to ₹15,000/-; repayment within 12 months. - 2nd Tranche: Loan up to ₹25,000/-; repayment within 18 months. - 3rd Tranche: Loan up to ₹50,000/-; repayment within 36 months. - Next tranche available on timely",2,1,2 → 1,2,"The chunk clearly explains PM SVANidhi's collateral-free working-capital loans, interest subsidy, and digital incentives. This correctly states one requested programme's component and merits Grade 2 under the multi-part rubric."
v2q-033-candidate-16,v2q-033,"How do three programmes support micro-enterprises, new enterprise creation, and street-vendor livelihoods through different financial mechanisms?","PMMY provides micro-credit to eligible micro-enterprises; PMEGP uses a credit-linked subsidy to establish new micro-enterprises; PM SVANidhi provides street vendors collateral-free working-capital loans, interest subsidy, and digital-payment incentives.",PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi),"a working capital collateral-free loan of ₹10,000, with subsequent loans of ₹20,000 and ₹50,000 with a 7% interest subsidy.. Working Capital Loan: 1st Tranche: Loan up to ₹15,000/-; repayment within 12 months. - 2nd Tranche: Loan up to ₹25,000/-; repayment within 18 months. - 3rd Tranche: Loan up to ₹50,000/-; repayment within 36 months. - Next tranche available on timely or early repayment. No prepayment penalty on early repayment. Interest Subsidy: Subsidy at 7% per annum on loan amount. Credited quarterly to beneficiary’s bank account. Applicable only for standard (non-NPA) accounts. Valid up to 31st March 2033. Digital Transaction Cashback: Cashback up to ₹100/- per month for digital transactions. Credit Guarantee Support: 31.87% guarantee cover for 1st tranche loan. 8.25% guarantee cover for 2nd tranche loan. 6% guarantee cover for 3rd tranche loan. No charges for lending institutions. UPI Linked RuPay Credit Card: Initial credit limit of ₹10,000/-; extendable up to ₹30,000/-. Validity of 5 years. Available after successful repayment of 2nd tranche loan.. Street vendors in possession of Certificate of Vending / Identity Card issued by Urban Local Bodies (ULBs). The vendors, who have been identified in the survey but have not been issued Certificate of Vending / Identity Card. Street Vendors left out of the ULB-led identification survey or who have started vending after completion of the survey and have been issued a Letter of Recommendation (LoR) to that effect by the ULB / Town Vending Committee (TVC). The vendors of surrounding development/ peri-urban/rural areas vending in the geographical limits of the ULBs, who have been issued a Letter of Recommendation (LoR) to that effect by the ULB / TVC.. Step 1: Visit https://pmsvanidhi.mohua.gov.in/ and click on the ""Log In"" button on the homepage. Step 2: Enter Mobile number and captcha. Click request OTP. Step 3: After successful",2,1,2 → 1,2,The chunk accurately states PM SVANidhi's working-capital loan mechanism and related benefits. This correctly states one requested programme's component and merits Grade 2 under the multi-part rubric.
