display_id,query_id,owner_grade,audit_grade,agreement,confidence,evidence_fragment,adjudication_required
v2q-001-candidate-19,v2q-001,0,0,yes,high,,no
v2q-004-candidate-10,v2q-004,0,0,yes,high,,no
v2q-005-candidate-12,v2q-005,0,0,yes,high,,no
v2q-027-candidate-14,v2q-027,0,0,yes,high,,no
v2q-029-candidate-19,v2q-029,0,0,yes,high,,no
v2q-034-candidate-08,v2q-034,0,0,yes,high,,no
v2q-019-candidate-22,v2q-019,0,0,yes,high,,no
v2q-007-candidate-08,v2q-007,0,0,yes,high,,no
v2q-029-candidate-13,v2q-029,0,0,yes,high,,no
v2q-021-candidate-12,v2q-021,0,0,yes,high,,no
v2q-002-candidate-07,v2q-002,0,0,yes,high,,no
v2q-024-candidate-10,v2q-024,0,0,yes,high,,no
v2q-024-candidate-05,v2q-024,0,0,yes,high,,no
v2q-020-candidate-17,v2q-020,0,0,yes,high,,no
v2q-033-candidate-14,v2q-033,0,0,yes,high,,no
v2q-020-candidate-20,v2q-020,0,0,yes,high,,no
v2q-003-candidate-06,v2q-003,0,0,yes,high,,no
v2q-020-candidate-12,v2q-020,1,1,yes,medium,PMKVY doc; NSDC/SPIA division absent,no
v2q-005-candidate-06,v2q-005,0,0,yes,high,,no
v2q-033-candidate-12,v2q-033,0,0,yes,high,,no
v2q-012-candidate-23,v2q-012,0,0,yes,high,,no
v2q-014-candidate-01,v2q-014,2,2,yes,high,'35 kg' per AAY family stated,no
v2q-026-candidate-22,v2q-026,0,0,yes,high,,no
v2q-003-candidate-04,v2q-003,0,0,yes,high,,no
v2q-027-candidate-21,v2q-027,0,0,yes,high,,no
v2q-017-candidate-11,v2q-017,0,0,yes,high,,no
v2q-009-candidate-09,v2q-009,0,0,yes,high,,no
v2q-001-candidate-06,v2q-001,0,0,yes,high,,no
v2q-003-candidate-20,v2q-003,0,0,yes,high,,no
v2q-028-candidate-01,v2q-028,1,1,yes,medium,PMKVY-SP sibling sub-scheme; tangential,no
v2q-023-candidate-24,v2q-023,0,0,yes,high,,no
v2q-004-candidate-01,v2q-004,0,0,yes,high,,no
v2q-019-candidate-11,v2q-019,0,0,yes,high,,no
v2q-029-candidate-04,v2q-029,0,0,yes,high,,no
v2q-026-candidate-21,v2q-026,1,1,yes,medium,Rural Development scheme doc; key claim absent,no
v2q-034-candidate-04,v2q-034,0,0,yes,high,,no
v2q-023-candidate-18,v2q-023,0,0,yes,high,,no
v2q-015-candidate-11,v2q-015,0,0,yes,high,,no
v2q-024-candidate-19,v2q-024,0,0,yes,high,,no
