question_id,category,question,reference_answer,gold_chunk_ids,source_doc_ids,scheme_names,bridge_entity,evidence_snippets,automatic_checks,status,reviewer,question_natural,category_correct,answer_supported,gold_chunks_correct,scheme_documents_correct,bridge_valid,two_chunk_necessity,lexical_leakage_acceptable,duplicate_intent,rationale
q_0001,exact_match,What is Mission Shakti?,Expenditure incurred during the Quarter Central Share ( in ₹ Lakhs ) State Share ( in ₹ Lakhs ) In Quarter I/II/III/IV Cumulative up to the Quarter I/ In Quarter I/II/III/IV Cumulative up to the Quarter Mission Shakti - Scheme Implementation Guidelines 7.,"[""chunk_4a04555a""]","[""doc_cc6e316344d2""]",[],,"[""case may be] ________ ________ Mission Shakti - Scheme Implementation Guidelines 6. Expenditure incurred during the Quarter Central Share ( in ₹ Lakhs ) State Share ( in ₹ Lakhs ) In Quarter I/II/III/IV Cumulative up to the Quarter I/ In Quarter I/II/III/IV Cumulative up to the Quarter Mission Shakti - Scheme Implementation Guidelines 7. Unutilized Funds ________ ________ ________ ________ Reasons: ______________________________________________________ 8. Excess expenditure ________ ________ ___""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0002,exact_match,What is ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences?,Scheme: ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture Research and Education Implementing agency: Indian Council Of Agricultural Research Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview ICAR awards a certain number of Senior Research Fellowships for Ph.D.,"[""chunk_bb712328""]","[""doc_97925511123b""]",[],,"[""Scheme: ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture Research and Education Implementing agency: Indian Council Of Agricultural Research Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview ICAR awards a certain number of Senior Research Fellowships for Ph.D. in an Agricultural University (AU), in different disciplines of agricul""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0003,exact_match,What is National Bamboo Mission?,"The restructured National Bamboo Mission primarily focuses on the development of complete value chain of bamboo sector to link growers with consumers starting from planting material, plantation, creation of facilities, skilled manpower and brand processing marketing, micro, small & medium enterprises, skilled manpower and brand building initiative in a cluster approach mode.","[""chunk_4c8abbf6""]","[""doc_554341edaf6e""]",[],,"[""Scheme: National Bamboo Mission Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture & Farmers Welfare Implementing agency: State Bamboo Development Agency / State Bamboo Mission Level: Central Scheme type: Centrally Sponsored Scheme Target beneficiaries: Individual, Business Entity Overview Restructured National Bamboo Mission was launched during 2018-19 as a Centrally Sponsored Scheme (CSS) after the historical amendment of the Indian Forest Act during 20""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0004,exact_match,What is Internship Programme Of The Department Of Expenditure?,Detailed description The Internship Programme of the Department of Expenditure aims to familiarize willing and eligible undergraduates pursuing five-year integrated courses and Graduates pursuing post-Graduation/ post-Graduates pursuing Research with the overall process of formulation of economic policies of the Government.,"[""chunk_d9b29e30""]","[""doc_22020bcc1151""]",[],,"[""Scheme: Internship Programme Of The Department Of Expenditure Ministry: Ministry Of Finance Department: Department of Expenditure Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview The Internship Programme of the Department of Expenditure aims to familiarize willing and eligible undergraduates pursuing five-year integrated courses and Graduates pursuing post-Graduation/ post-Graduates pursuing Research with the overall process of formulation of economic p""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0005,exact_match,What is Construction of Hostels for OBC Boys and Girls?,"Scheme: Construction of Hostels for OBC Boys and Girls Ministry: Ministry Of Social Justice and Empowerment Department: Department of Social Justice & Empowerment Level: Central Scheme type: Centrally Sponsored Scheme Target beneficiaries: State Government, University / Institution Overview The Scheme aims at providing hostel facilities to students belonging to socially and educationally backward classes, especially from rural areas, to enable them to pursue secondary and higher education.","[""chunk_054b5d2b""]","[""doc_007da74871e7""]",[],,"[""Scheme: Construction of Hostels for OBC Boys and Girls Ministry: Ministry Of Social Justice and Empowerment Department: Department of Social Justice & Empowerment Level: Central Scheme type: Centrally Sponsored Scheme Target beneficiaries: State Government, University / Institution Overview The Scheme aims at providing hostel facilities to students belonging to socially and educationally backward classes, especially from rural areas, to enable them to pursue secondary and higher education. Detai""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0021,terminology_heavy,What does VDP stand for?,Village Development Plan,"[""chunk_8b678016""]","[""doc_5e4f1b3106d8""]",[],,"[""₹20,38,000/- for development activities. Question: What is the minimum ST population required? Answer: The village must have at least 50% Scheduled Tribe population. Question: Is there a population criteria for villages? Answer: The village must have at least 500 population in plain areas and 250 in hilly areas. Question: What type of development is supported? Answer: The scheme supports infrastructure development and socio-economic improvements. Question: What is a Village Development Plan (VDP""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0022,terminology_heavy,What does GFR stand for?,General Financial Rules,"[""chunk_de5a3d6b""]","[""doc_ca4b29fe5546""]",[],,"[""the Project. Copy of Permanent Account Number (PAN) Card of the Organization. Bond Execution, Rule 231(2) & 3 (Required for Implementing Agencies, Not Quasi-Government Institutions, Central Autonomous Organisations, Or Institutions With Government-Approved Budgets). Financial and Annual Reporting Documents Annual Report for the Year for Which Grant-In-Aid Is Sought. Annual Report for Last Two Years (If Non-Governmental Organization). Audited Statement of Accounts (Income-Expenditure Statement, R""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0023,terminology_heavy,What does MSJE stand for?,Ministry of Social Justice and Empowerment,"[""chunk_fd158cd5""]","[""doc_88a32bf0acd5""]",[],,"[""Justice and Empowerment constituted this Expert Committee to make an in-depth study of the problems being faced by the Transgender Community and suggest suitable measures that can be taken by the Government to ameliorate their problems. 2. Ministry of Social Justice & Empowerment (MSJE) vide Order No.17-08/2013-DP-II dated 22nd October, 2013 (Annexure-2) constituted an Expert Committee on issues relating to transgender persons to make an in-depth study of the problems being faced by the transgen""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0024,terminology_heavy,What does NIOS stand for?,National Institute for Open Schooling,"[""chunk_bf8fe767""]","[""doc_88a32bf0acd5""]",[],,"[""and Effective linkages with vocational training centers run by private and government agencies Create a supportive Environment The transgender need a facilitating environment to explore the alternative employment opportunities. Efforts should be made to sensitize all concerned stakeholders like government officials in relevant departments, banks, private employers, corporate, community leaders like Gurus etc. The transgender community has unique culture of dance, folk songs and arts etc. It give""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0025,terminology_heavy,What does UIP stand for?,Universal Immunization Programme,"[""chunk_099299e1""]","[""doc_36c9d2d4e022""]",[],,"[""Bhopal 21.3 38.5 Total 36.8 * Data from two surveillance sites The data from the NRSN from September 2012 to June 2016 is summarized below in Table 10-13. The Rotavirus positivity in cases of hospitalized acute gastroenteritis was 36.8% for the country. The positivity ranges from 34-40% in each of the North, South, East and West zones suggesting the Rotavirus prevalence may be similar throughout India. The Rotavirus positivity was highest in age groups of 0-11 months (< 1 year) and 12- 24 months""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
