display_id,query_id,chunk_id,final_relevance_grade,label_source,adjudication_rationale
v2q-001-candidate-01,v2q-001,pilot-v2-doc-pmay-g-0004-f8ee90715c3f,1,owner_first_pass_unsampled_seed42,
v2q-001-candidate-02,v2q-001,pilot-v2-doc-pmay-u-0001-b64fadc4bf6b,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-03,v2q-001,pilot-v2-doc-pmay-g-0003-2769023a3f73,1,owner_first_pass_unsampled_seed42,
v2q-001-candidate-04,v2q-001,pilot-v2-doc-pmay-g-0002-e08c1e347071,1,owner_first_pass_unsampled_seed42,
v2q-001-candidate-05,v2q-001,pilot-v2-doc-pmuy-0001-5fd4d0cd2135,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-06,v2q-001,pilot-v2-doc-pmay-u-0000-0b5e95b2690a,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-07,v2q-001,pilot-v2-doc-pmay-g-0001-db2db8af1543,2,owner_regrade_agreement_seed42,
v2q-001-candidate-08,v2q-001,pilot-v2-doc-pm-janman-0002-d0844e3327b6,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-09,v2q-001,pilot-v2-doc-pmay-g-0005-c6e2fcfefcd0,1,owner_first_pass_unsampled_seed42,
v2q-001-candidate-10,v2q-001,pilot-v2-doc-pm-poshan-0000-7be831685336,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-11,v2q-001,pilot-v2-doc-pmay-g-0000-d4162175877d,2,owner_first_pass_unsampled_seed42,
v2q-001-candidate-12,v2q-001,pilot-v2-doc-apy-0000-c43dd88d7899,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-13,v2q-001,pilot-v2-doc-pm-janman-0001-0deee4377b38,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-14,v2q-001,pilot-v2-doc-pmay-g-0006-d323213e3255,1,owner_first_pass_unsampled_seed42,
v2q-001-candidate-15,v2q-001,pilot-v2-doc-ab-pmjay-0001-a632a7205efc,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-16,v2q-001,pilot-v2-doc-ab-pmjay-0003-1242266bb260,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-17,v2q-001,pilot-v2-doc-mgnrega-0000-7e6d80b47566,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-18,v2q-001,pilot-v2-doc-mgnrega-0001-5203a455caa6,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-19,v2q-001,pilot-v2-doc-pm-gkay-0000-c29b96f46a80,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-20,v2q-001,pilot-v2-doc-apy-0002-66a5cc4017fb,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-21,v2q-001,pilot-v2-doc-apy-0001-add48d27a4a2,0,owner_first_pass_unsampled_seed42,
v2q-001-candidate-22,v2q-001,pilot-v2-doc-ab-pmjay-0004-2e5074722cd7,0,owner_first_pass_unsampled_seed42,
