query_id	Q0	chunk_id	rank	score	system_name
q_0001	Q0	chunk_434ecf2f	1	0.428571	graphrag
q_0001	Q0	chunk_34ceaa4c	2	0.285714	graphrag
q_0001	Q0	chunk_547c46be	3	0.285714	graphrag
q_0001	Q0	chunk_746803ec	4	0.285714	graphrag
q_0001	Q0	chunk_24c5744e	5	0.142857	graphrag
q_0002	Q0	chunk_24c5744e	1	0.428571	graphrag
q_0002	Q0	chunk_ddc1db00	2	0.428571	graphrag
q_0002	Q0	chunk_434ecf2f	3	0.428571	graphrag
q_0002	Q0	chunk_34ceaa4c	4	0.428571	graphrag
q_0002	Q0	chunk_b6920a5f	5	0.428571	graphrag
q_0003	Q0	chunk_24c5744e	1	0.428571	graphrag
q_0003	Q0	chunk_ddc1db00	2	0.428571	graphrag
q_0003	Q0	chunk_434ecf2f	3	0.428571	graphrag
q_0003	Q0	chunk_34ceaa4c	4	0.428571	graphrag
q_0003	Q0	chunk_b6920a5f	5	0.428571	graphrag
q_0004	Q0	chunk_24c5744e	1	0.428571	graphrag
q_0004	Q0	chunk_ddc1db00	2	0.428571	graphrag
q_0004	Q0	chunk_434ecf2f	3	0.428571	graphrag
q_0004	Q0	chunk_34ceaa4c	4	0.428571	graphrag
q_0004	Q0	chunk_b6920a5f	5	0.428571	graphrag
q_0005	Q0	chunk_24c5744e	1	0.428571	graphrag
q_0005	Q0	chunk_434ecf2f	2	0.428571	graphrag
q_0005	Q0	chunk_34ceaa4c	3	0.428571	graphrag
q_0005	Q0	chunk_547c46be	4	0.428571	graphrag
q_0005	Q0	chunk_746803ec	5	0.428571	graphrag
q_0006	Q0	chunk_24c5744e	1	0.428571	graphrag
q_0006	Q0	chunk_ddc1db00	2	0.428571	graphrag
q_0006	Q0	chunk_434ecf2f	3	0.428571	graphrag
q_0006	Q0	chunk_34ceaa4c	4	0.428571	graphrag
q_0006	Q0	chunk_b6920a5f	5	0.428571	graphrag
q_0007	Q0	chunk_434ecf2f	1	8.000000	graphrag
q_0007	Q0	chunk_34ceaa4c	2	1.500000	graphrag
q_0008	Q0	chunk_24c5744e	1	0.428571	graphrag
q_0008	Q0	chunk_ddc1db00	2	0.428571	graphrag
q_0008	Q0	chunk_434ecf2f	3	0.428571	graphrag
q_0008	Q0	chunk_34ceaa4c	4	0.428571	graphrag
q_0008	Q0	chunk_b6920a5f	5	0.428571	graphrag
q_0009	Q0	chunk_24c5744e	1	0.428571	graphrag
q_0009	Q0	chunk_ddc1db00	2	0.428571	graphrag
q_0009	Q0	chunk_434ecf2f	3	0.428571	graphrag
q_0009	Q0	chunk_34ceaa4c	4	0.428571	graphrag
q_0009	Q0	chunk_028e5115	5	0.428571	graphrag
q_0011	Q0	chunk_547c46be	1	0.571429	graphrag
q_0011	Q0	chunk_434ecf2f	2	0.428571	graphrag
q_0011	Q0	chunk_34ceaa4c	3	0.428571	graphrag
q_0011	Q0	chunk_746803ec	4	0.428571	graphrag
q_0011	Q0	chunk_24c5744e	5	0.285714	graphrag
q_0012	Q0	chunk_24c5744e	1	26.500000	graphrag
q_0012	Q0	chunk_ddc1db00	2	20.000000	graphrag
q_0012	Q0	chunk_34ceaa4c	3	0.500000	graphrag
q_0012	Q0	chunk_028e5115	4	0.500000	graphrag
q_0012	Q0	chunk_547c46be	5	0.500000	graphrag
q_0013	Q0	chunk_24c5744e	1	26.500000	graphrag
q_0013	Q0	chunk_ddc1db00	2	20.000000	graphrag
q_0013	Q0	chunk_34ceaa4c	3	0.500000	graphrag
q_0013	Q0	chunk_028e5115	4	0.500000	graphrag
q_0013	Q0	chunk_547c46be	5	0.500000	graphrag
q_0014	Q0	chunk_ddc1db00	1	0.500000	graphrag
q_0014	Q0	chunk_434ecf2f	2	0.500000	graphrag
q_0014	Q0	chunk_b6920a5f	3	0.500000	graphrag
q_0014	Q0	chunk_24c5744e	4	0.375000	graphrag
q_0014	Q0	chunk_e97a8783	5	0.375000	graphrag
q_0015	Q0	chunk_34ceaa4c	1	0.375000	graphrag
q_0015	Q0	chunk_b6920a5f	2	0.375000	graphrag
q_0015	Q0	chunk_24c5744e	3	0.250000	graphrag
q_0015	Q0	chunk_ddc1db00	4	0.250000	graphrag
q_0015	Q0	chunk_547c46be	5	0.250000	graphrag
q_0016	Q0	chunk_34ceaa4c	1	0.428571	graphrag
q_0016	Q0	chunk_b6920a5f	2	0.428571	graphrag
q_0016	Q0	chunk_028e5115	3	0.428571	graphrag
q_0016	Q0	chunk_24c5744e	4	0.285714	graphrag
q_0016	Q0	chunk_434ecf2f	5	0.285714	graphrag
q_0017	Q0	chunk_434ecf2f	1	0.428571	graphrag
q_0017	Q0	chunk_547c46be	2	0.428571	graphrag
q_0017	Q0	chunk_746803ec	3	0.428571	graphrag
q_0017	Q0	chunk_24c5744e	4	0.285714	graphrag
q_0017	Q0	chunk_ddc1db00	5	0.285714	graphrag
q_0018	Q0	chunk_24c5744e	1	20.500000	graphrag
q_0018	Q0	chunk_547c46be	2	18.000000	graphrag
q_0018	Q0	chunk_028e5115	3	11.000000	graphrag
q_0018	Q0	chunk_ddc1db00	4	6.000000	graphrag
q_0018	Q0	chunk_34ceaa4c	5	3.500000	graphrag
q_0019	Q0	chunk_24c5744e	1	0.500000	graphrag
q_0019	Q0	chunk_ddc1db00	2	0.250000	graphrag
q_0019	Q0	chunk_434ecf2f	3	0.250000	graphrag
q_0019	Q0	chunk_028e5115	4	0.250000	graphrag
q_0019	Q0	chunk_34ceaa4c	5	0.125000	graphrag
q_0020	Q0	chunk_434ecf2f	1	0.222222	graphrag
q_0020	Q0	chunk_34ceaa4c	2	0.222222	graphrag
q_0020	Q0	chunk_547c46be	3	0.222222	graphrag
q_0020	Q0	chunk_746803ec	4	0.222222	graphrag
q_0020	Q0	chunk_24c5744e	5	0.111111	graphrag
q_0021	Q0	chunk_24c5744e	1	0.444444	graphrag
q_0021	Q0	chunk_434ecf2f	2	0.333333	graphrag
q_0021	Q0	chunk_ddc1db00	3	0.222222	graphrag
q_0021	Q0	chunk_34ceaa4c	4	0.222222	graphrag
q_0021	Q0	chunk_b6920a5f	5	0.222222	graphrag
q_0022	Q0	chunk_34ceaa4c	1	0.333333	graphrag
q_0022	Q0	chunk_434ecf2f	2	0.222222	graphrag
q_0022	Q0	chunk_547c46be	3	0.222222	graphrag
q_0022	Q0	chunk_746803ec	4	0.222222	graphrag
q_0022	Q0	chunk_24c5744e	5	0.111111	graphrag
q_0023	Q0	chunk_434ecf2f	1	0.363636	graphrag
q_0023	Q0	chunk_34ceaa4c	2	0.363636	graphrag
q_0023	Q0	chunk_746803ec	3	0.363636	graphrag
q_0023	Q0	chunk_24c5744e	4	0.272727	graphrag
q_0023	Q0	chunk_ddc1db00	5	0.272727	graphrag
q_0024	Q0	chunk_24c5744e	1	0.375000	graphrag
q_0024	Q0	chunk_434ecf2f	2	0.250000	graphrag
q_0024	Q0	chunk_028e5115	3	0.125000	graphrag
q_0024	Q0	chunk_547c46be	4	0.125000	graphrag
q_0025	Q0	chunk_434ecf2f	1	0.333333	graphrag
q_0025	Q0	chunk_547c46be	2	0.333333	graphrag
q_0025	Q0	chunk_24c5744e	3	0.222222	graphrag
q_0025	Q0	chunk_ddc1db00	4	0.222222	graphrag
q_0025	Q0	chunk_34ceaa4c	5	0.222222	graphrag
q_0026	Q0	chunk_24c5744e	1	0.375000	graphrag
q_0026	Q0	chunk_434ecf2f	2	0.375000	graphrag
q_0026	Q0	chunk_34ceaa4c	3	0.375000	graphrag
q_0026	Q0	chunk_746803ec	4	0.375000	graphrag
q_0026	Q0	chunk_ddc1db00	5	0.250000	graphrag
q_0027	Q0	chunk_547c46be	1	0.333333	graphrag
q_0027	Q0	chunk_24c5744e	2	0.222222	graphrag
q_0027	Q0	chunk_ddc1db00	3	0.222222	graphrag
q_0027	Q0	chunk_434ecf2f	4	0.222222	graphrag
q_0027	Q0	chunk_34ceaa4c	5	0.222222	graphrag
q_0028	Q0	chunk_24c5744e	1	0.222222	graphrag
q_0028	Q0	chunk_434ecf2f	2	0.222222	graphrag
q_0028	Q0	chunk_028e5115	3	0.222222	graphrag
q_0028	Q0	chunk_ddc1db00	4	0.111111	graphrag
q_0028	Q0	chunk_b6920a5f	5	0.111111	graphrag
