display_id,query_id,chunk_id,final_relevance_grade,label_source,adjudication_rationale
v2q-001-candidate-19,v2q-001,pilot-v2-doc-pm-gkay-0000-c29b96f46a80,0,first_pass_unsampled,
v2q-004-candidate-10,v2q-004,pilot-v2-doc-pmegp-0002-f67d4c730011,0,regrade_agreement,
v2q-005-candidate-12,v2q-005,pilot-v2-doc-pm-kmy-guidelines-0006-2652020c834e,0,first_pass_unsampled,
v2q-027-candidate-14,v2q-027,pilot-v2-doc-pm-kisan-guidelines-0000-bbe94f08550e,0,first_pass_unsampled,
v2q-029-candidate-19,v2q-029,pilot-v2-doc-pm-gkay-0000-c29b96f46a80,0,first_pass_unsampled,
v2q-034-candidate-08,v2q-034,pilot-v2-doc-pmegp-0003-43256e8e6645,0,first_pass_unsampled,
v2q-019-candidate-22,v2q-019,pilot-v2-doc-apy-0000-c43dd88d7899,0,regrade_agreement,
v2q-007-candidate-08,v2q-007,pilot-v2-doc-pmjdy-0001-95c3d046d79a,0,first_pass_unsampled,
v2q-029-candidate-13,v2q-029,pilot-v2-doc-pmay-g-0001-db2db8af1543,0,regrade_agreement,
v2q-021-candidate-12,v2q-021,pilot-v2-doc-ab-pmjay-0001-a632a7205efc,0,first_pass_unsampled,
v2q-002-candidate-07,v2q-002,pilot-v2-doc-pmay-g-0001-db2db8af1543,0,first_pass_unsampled,
v2q-024-candidate-10,v2q-024,pilot-v2-doc-pm-janman-0002-d0844e3327b6,0,first_pass_unsampled,
v2q-024-candidate-05,v2q-024,pilot-v2-doc-pmkvy-rpl-0000-c98f315c1481,0,regrade_agreement,
v2q-020-candidate-17,v2q-020,pilot-v2-doc-mgnrega-0002-bbbce5f319d4,0,first_pass_unsampled,
v2q-033-candidate-14,v2q-033,pilot-v2-doc-pmay-g-0001-db2db8af1543,0,first_pass_unsampled,
v2q-020-candidate-20,v2q-020,pilot-v2-doc-pmay-g-0003-2769023a3f73,0,first_pass_unsampled,
v2q-003-candidate-06,v2q-003,pilot-v2-doc-pmuy-0001-5fd4d0cd2135,0,first_pass_unsampled,
v2q-020-candidate-12,v2q-020,pilot-v2-doc-pmkvy-rpl-0003-9425f5b8529a,1,first_pass_unsampled,
v2q-005-candidate-06,v2q-005,pilot-v2-doc-pmay-u-0001-b64fadc4bf6b,0,first_pass_unsampled,
