query_id,category,question,chunk_id,systems,original_relevance,candidate_text,review_status,reviewer,relevance,rationale,second_reviewer_relevance
q_0001,exact_match,What is Mission Shakti?,chunk_1ec4c3a5,"{""faiss"": {""rank"": 3, ""score"": 0.489947774815344}}",,"issued by the Government of India regarding branding of CSSs, in all schemes of the Ministry. Accordingly, change of names/ symbols/ logos/ other identifiers of Mission Shakti as a whole or its sub-schemes or components shall not be permitted. All the institutions supported under the scheme or any events/ conferences/ seminars organized under Mission Shakti shall mandatorily carry the names/ symbols/ logos/ other identifiers in the sameform in which it has been prescribed on all hoardings/ banners/ backdrop/ posters/ boards/ brochures/ pamphlets/ leaflets or any other publications and IEC materials, whether in printed or electronic form. No co- branding of scheme components would be allowed.",pending,,,,
q_0001,exact_match,What is Mission Shakti?,chunk_36efdfe4,"{""entity_graph"": {""rank"": 1, ""score"": 0.5}}",,"by the MWCD at Central level. Similar arrangements may be made at State/District level. The details of manpower requirement along with Qualification under various component of Mission Shakti is at Annexure-IV. Since the institutions under Mission Shakti like OSCs, WHLs, Shakti Sadan, SakhiNiwas and Crèche will play a vital role for safety, security and empowerment of Women, the term of staff engaged on contract basis, if any, by the States /UTs for these institutions should ordinarily be up to the 15th Finance Commission Cycle i.e. up to 2025-26.However, it will be subject to annual performance appraisal of such staff being satisfactory and clearance from Vigilance angle. Qualification presc",pending,,,,
q_0001,exact_match,What is Mission Shakti?,chunk_37528100,"{""bm25"": {""rank"": 3, ""score"": 11.329321193432921}, ""entity_graph"": {""rank"": 2, ""score"": 0.5}}",,"the care burden on women and increase female labour force participation by promoting skill development, capacity building, financial literacy, access to micro-credit etc. The Ministry of Women Child Development (MWCD) is the Nodal Ministry for holistic development of Women and Children. Being the nodal Ministry for the advancement of women and children, the Ministry formulates plans, policies and programmes; enacts/ amends legislation, guides and coordinates the efforts of various stakeholders. Prior to Mission Shakti, the Ministry was implementing various sub-schemes under Mission for Protection and Empowerment of Women (MPEW) viz., BetiBachaoBetiPadhao (BBBP), Mahila Shakti Kendra (MSK), S",pending,,,,
q_0001,exact_match,What is Mission Shakti?,chunk_3875c260,"{""entity_graph"": {""rank"": 3, ""score"": 0.5}}",,"% in the case of the dormitories. Fees charged from the children in the Day Care Centre should not be more than 5% of the emoluments of their mother, or the actual expenditure whichever is less. The rent for women under training for job shall not exceed the lowest rent charged from any of the working women residing in the same facility. The rent for such trainees may be charged from the institution/ organization sponsoring the training and in case that is not possible from the woman herself. The rent does not include use of the mess and other facilities like washing machines for which user charges should be collected. As far as possible, women with children are accommodated in single/ double",pending,,,,
q_0001,exact_match,What is Mission Shakti?,chunk_4a04555a,"{""bm25"": {""rank"": 2, ""score"": 12.518099399422674}}",1,case may be] ________ ________ Mission Shakti - Scheme Implementation Guidelines 6. Expenditure incurred during the Quarter Central Share ( in ₹ Lakhs ) State Share ( in ₹ Lakhs ) In Quarter I/II/III/IV Cumulative up to the Quarter I/ In Quarter I/II/III/IV Cumulative up to the Quarter Mission Shakti - Scheme Implementation Guidelines 7. Unutilized Funds ________ ________ ________ ________ Reasons: ______________________________________________________ 8. Excess expenditure ________ ________ ________ ________ Reasons: _______________________________________________________ Signature and seal of the Authorized Officer Name : __________________ II/III/ IV I/II/III/IV 6. a. Cost of Conditional ,pending,,,,
q_0001,exact_match,What is Mission Shakti?,chunk_703d79a4,"{""bm25"": {""rank"": 1, ""score"": 12.576385549966147}}",,"Ei. {r*yr {qt, er6.q.qq. $ga rtP{s Dr. Rakesh Gupta, tAS Joint Secrotary Dt4^,,- Pgg""^'ata*t'tt*e 748. eft-{ilr4tar - - €TI[-dTErtrS \ea*+""V - SITKT SGSIT qftldr ga qa F+ors fircq vnd tl-m, d fu*-rrooor Government of lndla Ministry of Women & Child Development Shastri Bhawan, New Delhi-110 001 Ph.: 011-23388576, E+nail : guptarT@ias.nic.in DO No. WW-231112021-WW Dated, 146 July,2022 {rir+c qd As you may be aware that the Govemment of India has launched 'Mission Shakti' - an integrated women empowerment programme as umbrella scheme for the safety, security and empowerment of women for implementation during the 15'h Finance Commission period 2O2l-22 to 2025-26. 3. The components of'Samarthya' ",pending,,,,
q_0001,exact_match,What is Mission Shakti?,chunk_aee2c7b4,"{""faiss"": {""rank"": 1, ""score"": 0.6208294192017029}}",,"and grassroots level functionaries. It is intended to serve as a reference manual for officials at the National, State/Union Territory (UT) and District / grass root levels for policy guidance and monitoring. These guidelines list out the services to be provided under the Scheme and steps and processes/procedures for implementation. These guidelines also highlight the roles and responsibilities of various line departments. It provides indicative monitoring and reporting formats to be used at different levels. The guidelines may be modified based on the feedback received from States/UTs from time to time, as per requirements, to ensure proper implementation. 1.2 OBJECTIVE OF MISSION SHAKTI Th",pending,,,,
q_0001,exact_match,What is Mission Shakti?,chunk_ecb1cfb6,"{""faiss"": {""rank"": 2, ""score"": 0.498444316402686}}",,"on assisting the women in distress. Online training modules, video tutorials, quizzes and self-assessment questionnaire shall be prepared by MWCD and will be available on the portal. The States/UTs will provide mandatory induction training to all the personnel involved in the functioning of “Mission Shakti”. Towards fulfilling this objective, the State will coordinate with its various departments so that people providing services and those belonging to various departments could be sensitized and trained in handling the issues related to women and girls. 4 MONITORING, FEEDBACK AND REPORTING 4.1 MONITORING AND FEEDBACK Hub for Empowerment of Women (HEW) is envisaged for monitoring of the perfo",pending,,,,
q_0002,exact_match,What is ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences?,chunk_0192a18e,"{""entity_graph"": {""rank"": 1, ""score"": 0.5}}",,"on the immunization card and RCH register. Step 6 Return the unopened and opened Rotavirus vaccine vials after the immunization session to the cold chain point as per guidelines. Table 5: Key instructions for health workers while administering the Rotavirus vaccine 6.2 Reporting and recording of Rotavirus vaccine All recording and reporting formats with inclusion of Rotavirus vaccine should be printed well in time before introduction of the vaccine. These formats should be distributed before introduction and ensure that during health workers’ training, an exercise for filling the MCP card and other formats should be conducted. Inclusion of Rotavirus vaccine will be required in vaccine stock ",pending,,,,
q_0002,exact_match,What is ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences?,chunk_0960663e,"{""entity_graph"": {""rank"": 2, ""score"": 0.5}}",,"Scheme: Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities Ministry: Ministry Of Minority Affairs Level: Central Target beneficiaries: Individual Overview Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education. Detailed description Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and suppor",pending,,,,
