display_id,query_id,first_pass_grade,second_pass_grade,question,reference_answer,candidate_chunk,source_document_title,first_pass_rationale,second_pass_rationale
v2q-014-candidate-01,v2q-014,2,1,"Under the national ration programme, what monthly cereal allocation goes to families in the poorest entitlement tier and to each person in the priority tier?","AAY families receive 35 kilograms per family per month, while PHH beneficiaries receive 5 kilograms per person per month.","Pradhan Mantri Garib Kalyan Anna Yojana. Ministry Of Finance. Department Of Economic Affairs. The scheme ""Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY)"" has been launched by the Department of Food and Public Distribution, Ministry of Consumer Affairs, Food and Public Distribution, Government of India, and aims to ensure food security for the poor and vulnerable sections of the country by providing free food foodgrains. It was announced on 26 March 2020 during the COVID-19 pandemic and is operated by the Department of Food and Public Distribution under the Ministry of Consumer Affairs, Food and Public Distribution. Through this scheme, free foodgrains (rice or wheat, depending on the State) are provided to eligible ration card holders covered under the National Food Security Act, 2013, namely Antyodaya Anna Yojana (AAY) households and Priority Households (PHH). From 1 January 2023, the scheme was integrated into the food security framework, and foodgrains earlier given at the highly subsidised rates of ₹1, ₹2, and ₹3 per kilogram for coarse cereals, wheat, and rice, respectively, are now provided free of cost. The scheme has been extended by the Union Cabinet for 5 years starting from 1 January 2024 and is approved for continuation till 31 December 2028, with a total financial outlay of ₹11.80 lakh crore (₹11,80,000 crore). The scheme is implemented through the Targeted Public Distribution System (TPDS) by the state governments and Union Territory Administrations, with foodgrain allocation by the Government of India.. The scheme aims to ensure food security for the poor. Through this scheme, free foodgrains are provided to eligible ration card holders under the National Food Security Act, 2013.. Antyodaya Anna Yojana (AAY) families receive 35 kilograms of foodgrains per family per month. Priority Household (PHH) beneficiaries receive 5 kilograms of foodgrains per person per month. The foodgrains are provided as",Pradhan Mantri Garib Kalyan Anna Yojana,,
v2q-028-candidate-01,v2q-028,1,0,"What does PMKVY Recognition of Prior Learning certify, and which other pathway from its ministry serves candidates seeking fresh short-term skills training?","PMKVY Recognition of Prior Learning certifies candidates’ existing skills. PMKVY Short-Term Training, under the same Ministry of Skill Development and Entrepreneurship, provides fresh skilling, reskilling, or upskilling.","Special Areas, and may also be extended for training in Aspirational, Border, Tribal-dominated, and LWE-affected districts. Special Projects may also be taken up with fully residential training.1. Conveyance / Transportation Cost: Permissible for Women and Persons with Disability (PwD) in case of non-residential training, as per Common Norms.1. Additional Support to Persons with Disability (PwD) Candidates: ₹5,000 towards assistive devices, aids, and appliances.1. Accidental Insurance: Every certified candidate is provided with 1-year accidental insurance, as per prevailing rates (₹14.16).1. Aadhaar Enabled Biometric Attendance System (AEBAS) Transaction Fees: Up to ₹10 per user, borne under the scheme.1. Post-Certification Tracking Support: Information Technology (IT)-based tracking for up to 1 year from the date of certification, with an allowance of up to ₹50 per certified candidate.1. Certification: A Quick Response (QR) code-based digital certificate is issued (on DigiLocker, on email/phone number, and on the Skill India Digital profile), and one printed certificate is provided free of cost by the Training Provider.1. Post-Certification Linkages: Certified candidates are linked with Rojgar Melas (including virtual) and Apprenticeship Melas and gain access to jobs, apprenticeship opportunities, and loans for entrepreneurship through Skill India Digital.. The applicant should be of Indian nationality. The applicant should possess a valid Aadhaar. The applicant should fulfil the eligibility criteria of the respective job role. The applicant should be in the age group of 15 to 45 years. The applicant should belong to a marginalised or vulnerable group, or another group requiring special attention, or should be undertaking job roles with a focus on future skills.. The applicant should not be enrolled again in the same job role in which he/she was trained earlier. The applicant, if already certified once under PMKVY, will be discouraged from opting for a lower National Skills Qualification Framework (NSQF) level course in the same sector; however,",Pradhan Mantri Kaushal Vikas Yojana 4.0- Special Projects,,
v2q-017-candidate-06,v2q-017,2,1,Which training route serves people no longer in education or work who need an initial occupational skill?,"PMKVY 4.0 Short-Term Training provides fresh skilling, reskilling, or upskilling for groups including school or college dropouts and unemployed youth.","for entrepreneurship; a post-certification tracking allowance of up to ₹50 per certified candidate is utilised for this purpose. On passing the assessment, the candidate is awarded a graded certificate: for NSQF Level 1, 2, 3 — Grade A (85% and above), Grade B (70% to less than 85%), Grade C (50% to 70%); for NSQF Level 4 and above — Grade A (85% and above), Grade B (70% to less than 85%). More than 70% biometric (AEBAS) attendance is required for each candidate to appear in the assessment. The indicative average per-candidate cost is ₹9,540 for a 300-hour STT course (including Skill Hubs) and ₹13,724 for a 450-hour STT course, derived considering a base training cost of ₹27.89 per hour. Funds are released to Training Providers / Training Centres / Skill Hubs in three tranches: Tranche 1 — 30% on commencement of training; Tranche 2 — 30% on the batch achieving 70% AEBAS attendance once and 50% of training being over; Tranche 3 — 40% on certification (passed candidates only). The accidental insurance coverage is valid for one year, and post-certification tracking is conducted for one year from the date of certification.. The applicant should be an Indian national. The applicant should possess a valid Aadhaar. The applicant should be in the age group of 15 to 45 years. The applicant should fulfil the eligibility criteria of the respective job role, as defined in the course curriculum of the job role to be offered. The applicant may be a candidate looking for fresh skilling, re-skilling, or upskilling. The applicant may be an out-of-education candidate, a school/college dropout, or an unemployed youth. The applicant should not be enrolled again in the same job role in which he/she was already trained earlier. The applicant, if already certified once under PMKVY, opting for",Pradhan Mantri Kaushal Vikas Yojana 4.0 - Short-Term Training,,
v2q-028-candidate-15,v2q-028,2,1,"What does PMKVY Recognition of Prior Learning certify, and which other pathway from its ministry serves candidates seeking fresh short-term skills training?","PMKVY Recognition of Prior Learning certifies candidates’ existing skills. PMKVY Short-Term Training, under the same Ministry of Skill Development and Entrepreneurship, provides fresh skilling, reskilling, or upskilling.","either General Orientation (with modules for Employability Skills, Career Progression, Opportunities for formal education, etc.) or Orientation with NOS (with modules for NOS, Employability Skills, Career Progression, etc.). The maximum duration of RPL is 132 hours. Stage 4: The applicant undergoes assessment (Theory and Practical), conducted by the Awarding Bodies, equivalent to STT assessment, with AEBAS-based compulsory attendance. Stage 5: On passing with at least 70% marks, the applicant is awarded a graded (A/B) Skill Certificate and Marksheet, issued via DigiLocker, an email/phone download link, and the SID profile page.",Pradhan Mantri Kaushal Vikas Yojana 4.0 - Recognition Of Prior Learning,,
v2q-033-candidate-13,v2q-033,2,1,"How do three programmes support micro-enterprises, new enterprise creation, and street-vendor livelihoods through different financial mechanisms?","PMMY provides micro-credit to eligible micro-enterprises; PMEGP uses a credit-linked subsidy to establish new micro-enterprises; PM SVANidhi provides street vendors collateral-free working-capital loans, interest subsidy, and digital-payment incentives.","PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi). Ministry Of Housing & Urban Affairs. Urban Local Bodies (ULBs) And Town Vending Committees (TVCs). The scheme &quot;PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi)&quot; by the Ministry of Housing and Urban Affairs, Government of India aims to formalize street vendors and enhance their economic opportunities through providing collateral-free working capital loans, interest subsidy, and digital transaction incentives to street vendors. It was launched on 1st June 2020 as a central sector scheme. The scheme supports vendors in restarting and expanding their businesses. It also promotes digital payments to increase financial inclusion. Street vendors include hawkers, thelewala, rehriwala, and others engaged in small-scale vending activities. The scheme aims to formalize the street vendors and open up new opportunities for this sector to move up the economic ladder. Street vendors represent a very important constituent of the urban informal economy and play a significant role in ensuring availability of the goods and services at affordable rates at the doorstep of the city dwellers. They are known as vendors, hawkers, thelewala, rehriwala, theliphadwala, etc. in different areas/ contexts. The goods supplied by them include vegetables, fruits, ready-to-eat street food, tea, pakodas, bread, eggs, textile, apparel, footwear, artisan products, books/ stationary, etc. The services include barber shops, cobblers, pan shops, laundry services, etc.. PM SVANidhi is a micro-credit scheme launched on 1st June 2020 by the MoHUA to provide handholding support to street vendors. The scheme facilitates a working capital collateral-free loan of ₹10,000, with subsequent loans of ₹20,000 and ₹50,000 with a 7% interest subsidy.. Working Capital Loan: 1st Tranche: Loan up to ₹15,000/-; repayment within 12 months. - 2nd Tranche: Loan up to ₹25,000/-; repayment within 18 months. - 3rd Tranche: Loan up to ₹50,000/-; repayment within 36 months. - Next tranche available on timely",PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi),,
v2q-015-candidate-09,v2q-015,2,1,Which initiative helps job-seekers and established craftspeople launch small businesses outside agriculture?,"The Prime Minister's Employment Generation Programme supports new micro-enterprises to create self-employment for traditional artisans, unemployed youth, and other eligible beneficiaries.","is eligible for obtaining financial assistance for setting up of projects under PMEGP. The 'family’ includes self and spouse. Negative List of Activities: The following list of activities will not be permitted under PMEGP for setting up of micro enterprises/ projects/units:- Any Industry/ Business connected with Meat(slaughtered), i.e., processing, canning and/or serving items made of it as food, production/Manufacturing or sale of intoxicant items like Beedi/Pan/ Cigar/Cigarette etc., any Hotel or Dhaba or sales outlet serving liquor, preparation/producing tobacco as raw materials, tapping of toddy for sale will not be allowed. Any Industry/Business connected with cultivation of crops/plantation like Tea, Coffee, Rubber etc. Sericulture (Cocoon rearing), Horticulture, Floriculture, Animal Husbandry will not be allowed.However, value addition under these will be allowed under PMEGP. Off Farm/Farm Linked activities in connection with sericulture, horticulture, floriculture etc. will also be allowed. Activities prohibited by Local Government/Authorities keeping in view environment or socio-economic factors will not be allowed .. Application For New Unit: Step 1: Visit the official website. Step 2: Click on the “Apply” button under the “Application For New Unit” tab . Step 3: Furnish all the required details on the Online Application Form and click on ""Save Applicant Data"". Step 4: On the next page, upload the required documents and proceed for final submission. Application For Existing Units (2nd Loan): Step 1: Visit the official website. Step 2: Click on the “Apply” button under the “Application For Existing Units (2nd Loan)” tab. Step 3: Click on the Online Application tab and fill out the Online Application Form. Step 4: Complete the form and click on Next page, upload the required documents and proceed for final submission. Login Form For Registered Applicant of Second Loan Subsidy for Upgrading of Existing Unit: Step 1: Visit the official website of the PMEGP Portal. Step",Prime Minister's Employment Generation Programme,,
v2q-007-candidate-07,v2q-007,1,0,"What is the full form of PMJJBY, and which event does its life insurance cover?",PMJJBY stands for Pradhan Mantri Jeevan Jyoti Bima Yojana and provides life-insurance cover for death due to any reason.,"of one eye or loss of use of one hand or foot –subscriber shall get Rs. 1 Lakh.. Individual bank account holders of participating banks aged between 18 years (completed) and 70 years (age nearer birthday) who give their consent to join / enable auto-debit, will be enrolled into the scheme.. Step 01: In order to enrol in PMSBY offline, one can visit the bank branch where one has a savings account or the candidate can visit the official site: https://jansuraksha.gov.in/Forms-PMSBY.aspx to download the form. Step 02: After downloading the application form , candidate can fill in all the details and submit them to the bank along with the required documents. Step 03: Once it is successfully submitted , subscriber will get an Acknowledgement Slip Cum Certificate of Insurance. Contact: State wise tollfree number - https://jansuraksha.gov.in/files/STATEWISETOLLFREE.pdf National Toll Free Number - 1800-180-1111 / 1800-110-001. One can also avail cover under PMSBY online using their bank's Net banking facility.",Pradhan Mantri Suraksha Bima Yojana,,
v2q-028-candidate-05,v2q-028,0,1,"What does PMKVY Recognition of Prior Learning certify, and which other pathway from its ministry serves candidates seeking fresh short-term skills training?","PMKVY Recognition of Prior Learning certifies candidates’ existing skills. PMKVY Short-Term Training, under the same Ministry of Skill Development and Entrepreneurship, provides fresh skilling, reskilling, or upskilling.","the approved Qualification Pack. An induction kit consisting of a T-shirt (male) or Jacket (female) and a bag is provided; the uniform, induction kit, and participant handbook are covered up to a maximum of ₹500 per candidate. Assessment and Certification is provided, with a pay-out of ₹600 per candidate per assessment given to the Sector Skill Councils (SSCs) / Awarding Bodies for overseeing and facilitating final assessments. Every candidate is offered one chance of re-assessment free of cost, with the fees borne from the scheme. Accidental Insurance with one year of coverage is provided to every certified candidate, as per prevalent rates (₹14.16). Boarding and Lodging along with transport facilities are provided to special groups (women and Persons with Disability) and Special Areas as defined in Common Norms, and may also be extended to Aspirational, Border, Tribal-dominated, and LWE-affected districts. Conveyance/Transportation cost is permissible for women and Persons with Disability (PwD) in case of non-residential training, as per Common Norms. Additional support of ₹5,000 towards assistive devices, aids, and appliances is provided to all PwD candidates. A free printed certificate is provided, along with a QR-code-based digital certificate issued through DigiLocker, an email/phone download link, and the Skill India Digital profile; a convocation ceremony is also held for passed-out candidates. Post-certification, candidates are tracked for one year, linked with Rojgar Melas and Apprenticeship Melas, and given access through Skill India Digital to jobs, apprenticeship opportunities, and other facilities including loans for entrepreneurship; a post-certification tracking allowance of up to ₹50 per certified candidate is utilised for this purpose. On passing the assessment, the candidate is awarded a graded certificate: for NSQF Level 1, 2, 3 — Grade A (85% and above), Grade B (70% to less than 85%), Grade C (50% to 70%); for NSQF Level 4 and above —",Pradhan Mantri Kaushal Vikas Yojana 4.0 - Short-Term Training,"STT induction kit (T-shirt/jacket/bag, ₹500 cap) and assessment pay-out (₹600/candidate) — kit/stipend detail does not address RPL certification scope or STT's fresh-skilling purpose; downgrade to 0.",
v2q-013-candidate-17,v2q-013,2,1,Which initiative helps women in low-income countryside homes replace smoke-producing solid cooking materials with bottled gas?,Pradhan Mantri Ujjwala Yojana provides LPG access to rural and deprived households that previously relied on traditional cooking fuels.,"from below-poverty-line.. Cash assistance for PMUY connections is provided by the Government of India - ₹1600 (for a connection 14.2kg cylinder/ ₹1150 for a 5 kg cylinder). The cash assistance covers: Security Deposit of Cylinder – ₹1250 for 14.2 kg cylinder/ ₹ 800 for 5 kg cylinder. Pressure Regulator – ₹150. LPG Hose – ₹100. Domestic Gas Consumer Card – ₹25. Inspection/ Installation/ Demonstration charges – ₹75. Additionally, All PMUY beneficiaries will be provided with first LPG refill and Stove (hotplate) both free of cost along with their deposit-free connection by the Oil Marketing Companies (OMCs).. The applicant must be at least 18 years old. The applicant’s household must not have any existing LPG connection. The applicant woman must belong to any one of the eligible categories. SC Households ST Households Pradhan Mantri Awas Yojana (Gramin) Most Backward Classes Antyodaya Anna Yojana (AAY) Tea and Ex-Tea Garden tribes Forest Dwellers People residing on Islands and River Islands SECC Households (AHL TIN) Poor Household as per 14-point declaration. Step 1: You can download Forms from the official website (given below) or get them from the nearest LPG distributor. [KYC Form](https://www.pmuy.gov.in/documents/Supplementary%20KYC.pdf) Supplementary KYC Document & Undertaking- ANNEXURE - I Self-declaration for Family Composition and Address for release of new connection under PMUY (for Migrant only)- ANNEXURE - II Mechanics Pre-Installation check of Customers Premises for LPG connection Step 2: Fill out the application form with the required information, including personal details, bank account information, and LPG distributor preference. Step 3: Attach the necessary documents along with the application form. The documents typically include proof of identity, proof of address, and proof of BPL category. Step 4: Submit the completed application form along with the supporting documents to the nearest LPG distributor.. Step 1: Apply online for Pradhan Mantri Ujjwala Yojana 2.0 from",Pradhan Mantri Ujjwala Yojana 2.0,,
v2q-030-candidate-06,v2q-030,2,1,"What retirement benefit does APY offer, and which life-insurance programme administered through the same department covers death from any cause?","APY offers guaranteed monthly pension options after age 60. PMJJBY, associated with the same Department of Financial Services, provides life cover for death due to any reason.","Atal Pension Yojana. Ministry Of Finance. Department of Financial Service. Banks. Atal Pension Yojana (APY) is an old age income security scheme for a savings account holder in the age group of 18-40 years who is not an income tax-payee. The scheme helps in addressing the longevity risks among the workers in the unorganized sector and encourages the workers to voluntarily save for their retirement. Focus of APY The scheme is mainly targeted at the poor, the under-privileged and workers in the unorganized sector. APY Subscriber Contribution Chart - https://www.npscra.nsdl.co.in/nsdl/scheme-details/APYSubscribersContributionChart1.pdf Charges and fees and overdue interest under APY: The charges and fees and the overdue interest for non-payment or delayed payment of prescribed contribution amount shall be levied on the subscribers of APY. These charges and their method of application shall be prescribed by PFRDA from time to time, in consultation with the Central Government. Raising Grievance Under APY A subscriber can raise grievance anytime free of cost from anywhere by visiting: www.npscra.nsdl.co.in &gt;&gt;Home &gt;&gt; select: NPS-Lite or through CGMS Subscriber raising the grievance will be allotted a token number against the grievance raised. Subscriber may check the status of the grievance under “Check the status of Grievance / Enquiry already registered”.. Atal Pension Yojana (APY) is an old age income security scheme for a savings account holder in the age group of 18-40 years, who is not an income tax-payee. It helps to address longevity risks among workers in unorganized sector and encourages the workers to voluntarily save for retirement.. Upon exit on attaining 60 years The subscriber shall receive the following three benefits on attaining the age of 60: (i) Guaranteed minimum pension amount: Each subscriber under APY shall receive a guaranteed minimum pension of Rs. 1000/- per month or Rs. 2000/- per month or Rs. 3000/- per",Atal Pension Yojana,,
