query_id,query_text,category,system,gold_rank,hit_at_5,hit_at_10,mrr_at_5,mrr_at_10,recall_at_5,recall_at_10,ndcg_graded_at_10,ce_recall_at_10,qrel_base,failure_type,n_systems_hit_at_5,difficulty
v2q-001,What is the minimum house size specified under PMAY-G?,exact_lookup,bm25,1,1.0,1.0,1.0,1.0,0.42857142857142855,0.7142857142857143,0.8282912530574776,0.0,final_pooled,hit,5,0.0
v2q-001,What is the minimum house size specified under PMAY-G?,exact_lookup,faiss_windowed_max,1,1.0,1.0,1.0,1.0,0.42857142857142855,0.7142857142857143,0.8255516298730751,0.0,final_pooled,hit,5,0.0
v2q-001,What is the minimum house size specified under PMAY-G?,exact_lookup,graph_v3_2,1,1.0,1.0,1.0,1.0,0.7142857142857143,0.8571428571428571,0.9367360409530254,0.0,final_pooled,hit,5,0.0
v2q-001,What is the minimum house size specified under PMAY-G?,exact_lookup,hybrid_rrf,1,1.0,1.0,1.0,1.0,0.7142857142857143,0.8571428571428571,0.9367360409530254,0.0,final_pooled,hit,5,0.0
v2q-001,What is the minimum house size specified under PMAY-G?,exact_lookup,prompt_rag_claude,1,1.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.6190744388306226,0.0,final_pooled,hit,5,0.0
v2q-002,"What maximum premium rates can farmers pay under PMFBY for Kharif, Rabi, and annual commercial or horticultural crops?",exact_lookup,bm25,1,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,final_pooled,hit,5,0.0
v2q-002,"What maximum premium rates can farmers pay under PMFBY for Kharif, Rabi, and annual commercial or horticultural crops?",exact_lookup,faiss_windowed_max,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.6939299653784159,0.0,final_pooled,hit,5,0.0
v2q-002,"What maximum premium rates can farmers pay under PMFBY for Kharif, Rabi, and annual commercial or horticultural crops?",exact_lookup,graph_v3_2,2,1.0,1.0,0.5,0.5,0.6666666666666666,1.0,0.75939205516242,1.0,final_pooled,hit,5,0.0
v2q-002,"What maximum premium rates can farmers pay under PMFBY for Kharif, Rabi, and annual commercial or horticultural crops?",exact_lookup,hybrid_rrf,1,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,final_pooled,hit,5,0.0
v2q-002,"What maximum premium rates can farmers pay under PMFBY for Kharif, Rabi, and annual commercial or horticultural crops?",exact_lookup,prompt_rag_claude,1,1.0,1.0,1.0,1.0,0.5,0.5,0.7273339048874958,0.0,final_pooled,hit,5,0.0
v2q-003,What revised overdraft limit and RuPay accidental-insurance cover are stated for PMJDY?,exact_lookup,bm25,1,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.9509457695419298,1.0,final_pooled,hit,5,0.0
v2q-003,What revised overdraft limit and RuPay accidental-insurance cover are stated for PMJDY?,exact_lookup,faiss_windowed_max,5,1.0,1.0,0.2,0.2,0.3333333333333333,0.6666666666666666,0.3950493062974106,0.0,final_pooled,hit,5,0.0
v2q-003,What revised overdraft limit and RuPay accidental-insurance cover are stated for PMJDY?,exact_lookup,graph_v3_2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,final_pooled,hit,5,0.0
v2q-003,What revised overdraft limit and RuPay accidental-insurance cover are stated for PMJDY?,exact_lookup,hybrid_rrf,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,final_pooled,hit,5,0.0
