query_id	chunk_id	grade
q_0001	r4chunk_654045165db0	2
q_0002	r4chunk_1c4ffaeaf99d	2
q_0003	r4chunk_73f6f0977c25	2
q_0004	r4chunk_49e4d8abcd70	2
q_0005	r4chunk_ecee49976864	2
q_0006	r4chunk_f15d9dfdaa4d	2
q_0007	r4chunk_42070aa0b5c9	2
q_0008	r4chunk_2e449df9226a	2
q_0009	r4chunk_10a440636d87	2
q_0010	r4chunk_8c516c5a73ba	2
q_0011	r4chunk_5adb86e85197	2
q_0012	r4chunk_4f42b89c695d	2
q_0013	r4chunk_d23abf085eab	2
q_0014	r4chunk_70ccf247afb1	2
q_0015	r4chunk_348e1aa8ceae	2
q_0016	r4chunk_498c5e2e5246	2
q_0017	r4chunk_0e1ab4dd4ee2	2
q_0018	r4chunk_1ffab1ca0397	2
q_0019	r4chunk_49b3feb4b054	2
q_0020	r4chunk_7d567d19e61a	2
q_0021	r4chunk_bdef36958205	2
q_0022	r4chunk_9fa37e686542	2
q_0023	r4chunk_3eda7a6c060b	2
q_0024	r4chunk_a476b9767c65	2
q_0025	r4chunk_b72b0a02ead7	2
q_0026	r4chunk_b72b0a02ead7	2
q_0027	r4chunk_2e9aff909e78	2
q_0028	r4chunk_1c4ffaeaf99d	2
q_0029	r4chunk_1c4ffaeaf99d	2
q_0030	r4chunk_27333bca4317	2
q_0031	r4chunk_27333bca4317	2
q_0032	r4chunk_73f6f0977c25	2
q_0033	r4chunk_73f6f0977c25	2
q_0034	r4chunk_fd07817adc30	2
q_0035	r4chunk_b14224acd68b	2
q_0036	r4chunk_f84cebd0691e	2
q_0037	r4chunk_f84cebd0691e	2
q_0038	r4chunk_50d1e7dcc251	2
q_0039	r4chunk_50d1e7dcc251	2
q_0040	r4chunk_932fac461668	2
q_0041	r4chunk_bdef36958205	2
q_0042	r4chunk_bfba08c35e14	2
q_0043	r4chunk_d20316590184	2
q_0044	r4chunk_ac327c312e3b	2
q_0045	r4chunk_e295e80925f2	2
q_0046	r4chunk_475478db2fa5	2
q_0047	r4chunk_86b040d0601b	2
q_0048	r4chunk_b6fef2c6c5dd	2
q_0049	r4chunk_76171e512683	2
q_0050	r4chunk_177235fb65c5	2
q_0051	r4chunk_1c4ffaeaf99d	2
q_0052	r4chunk_c9a0b5f9140c	2
q_0053	r4chunk_73f6f0977c25	2
q_0054	r4chunk_49e4d8abcd70	2
q_0055	r4chunk_ecee49976864	2
q_0056	r4chunk_90149c485f54	2
